Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Actual vote,Evaluate
"Josh MacAlister (Labour, Whitehaven and Workington)",,,1,,,,"a speech, 5 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5033,"2026-04-13 DEBATE: Spoke:  Disclosure and Safeguarding:  At-risk Children (re: Children's Wellbeing and Schools) ""That is the current situation, which goes far beyond just cases of child sexual abuse, but in the Crime and Policing Bill currently before Parliament the Government are going further by strengthening Sarah’s law and placing it on a statutory footing. The..."" [0: Discusses child safeguarding disclosure scheme, unrelated to abortion or parental education rights]",,
"Leigh Ingham (Labour, Stafford)",,,1,,,,"a speech, 18 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5290,"2025-03-10 DEBATE: Spoke:  Crime and Policing Bill ""Crime and Policing Bill"" [0: General crime and policing debate, no reference to abortion issue]",,
"Matt Bishop (Labour, Forest of Dean)",,,1,,,,"a speech, 17 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5323,"2025-03-27 DEBATE: Spoke: Crime and Policing Bill (Second sitting) ""Crime and Policing Bill (Second sitting)"" [0: Question on tech accountability for intimate image abuse, unrelated to abortion, neutral]",,
"Mr Alex Barros-Curtis (Labour, Cardiff West)",,,1,,,,"a speech, 17 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5175,"2025-04-08 DEBATE: Spoke: Crime and Policing Bill (Eighth sitting) ""Crime and Policing Bill (Eighth sitting)"" [0: Focuses on grooming gangs funding and safeguarding, not abortion or education rights]",,
"Sam Carling (Labour, North West Cambridgeshire)",,,1,,,,"a speech, 6 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5308,"2026-03-02 DEBATE: Spoke:  Small Religious Organisations: Safeguarding (re: child sexual abuse) ""However, I want to open today’s debate by talking about an issue that I have previously discussed with the Minister: the mandatory reporting of child sexual abuse, which is one of the key recommendations from the independent inquiry into child sexual abuse. I..."" [0: Focuses on mandatory abuse reporting, not clearly tied to abortion or parental rights in education]",,
"Samantha Niblett (Labour, South Derbyshire)",,,1,,,,"a question, 2 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5150,"2026-06-29 PQ: Abortion: Clinics ""Abortion: Clinics"" [0: Neutral factual question on abortion clinic safety measures]",,
"Sarah Dyke (Liberal Democrat, Glastonbury and Somerton)",,,1,,,,"a speech, 21 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4995,"2024-12-04 DEBATE: Spoke: Biosecurity (re: abortion) ""Research from my alma mater, Harper Adams University, shows that controlling avian influenza reduces greenhouse gas emissions by almost 16% per kilogram of meat without the need for culling. Following several successful campaigns from industry bodies, most..."" [0: Debate entirely about biosecurity and disease control, unrelated to abortion despite tag]",,
"Sarah Hall (Labour (Co-op), Warrington South)",,,1,,,,"a speech, 18 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5154,"2025-03-10 DEBATE: Spoke:  Crime and Policing Bill ""Crime and Policing Bill"" [0: Focuses on crime, stalking and antisocial behaviour, no reference to abortion policy]",,
"Shockat Adam (Independent, Leicester South)",,,1,,,,"a speech, 9 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5120,"2025-12-10 DEBATE: Spoke:  AI Safety (re: Online Safety Act) ""Like the hon. Member for Newcastle upon Tyne Central and West (Dame Chi Onwurah), I fear that the Government have not learned from previous legislative failures. We all remember that deepfake pornography, one of the most disturbing and harmful uses of AI, was..."" [0: General AI safety debate; mentions freedom of expression only in passing, direction unclear]",,
"Simon Hoare (Conservative, North Dorset)",,,1,,,,"a speech, 4 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4494,"2023-01-23 DEBATE: Spoke: Northern Ireland Budget Bill (re: abortion) ""Those groups, which are so dependent upon the money that this Budget could provide and that Stormont could reflect, now find their work in jeopardy. I encourage female Members of this place to take a growing interest—I know many do, including the shadow..."" [0: Ambiguous remarks on NI funding and abortion service provision, direction unclear]",,
"Siân Berry (Green Party, Brighton Pavilion)",,,1,,,,"a speech, 14 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5314,"2025-06-17 DEBATE: Spoke: Crime and Policing Bill ""Crime and Policing Bill"" [0: Focuses on child exploitation offences and facial recognition, no abortion content]",,
"Tristan Osborne (Labour, Chatham and Aylesford)",,,1,,,,"a speech, 18 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5220,"2025-03-10 DEBATE: Spoke:  Crime and Policing Bill ""Crime and Policing Bill"" [0: Speech on shoplifting and knife crime, unrelated to abortion policy]",,
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,no evidence,,0,mp-votes.html#mp-5142,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Dance (Liberal Democrat, Yeovil)",,,1,,,,no evidence,,0,mp-votes.html#mp-5191,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,no evidence,,0,mp-votes.html#mp-5168,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Thompson (Labour, Erewash)",,,1,,,,no evidence,,0,mp-votes.html#mp-5044,No recorded activity on this area (ledger from 2026-02-03),,
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5320,No recorded activity on this area (ledger from 2026-02-03),,
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,no evidence,,0,mp-votes.html#mp-5235,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5185,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,no evidence,,0,mp-votes.html#mp-5080,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Baker (Labour, Aldershot)",,,1,,,,no evidence,,0,mp-votes.html#mp-5173,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Ballinger (Labour, Halesowen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5238,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Brewer (Liberal Democrat, North East Hampshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5263,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Easton (Independent, North Down)",,,1,,,,no evidence,,0,mp-votes.html#mp-5262,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,no evidence,,0,mp-votes.html#mp-5141,No recorded activity on this area (ledger from 2026-02-03),,
"Alex McIntyre (Labour, Gloucester)",,,1,,,,no evidence,,0,mp-votes.html#mp-5349,No recorded activity on this area (ledger from 2026-02-03),,
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5133,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,no evidence,,0,mp-votes.html#mp-5283,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,no evidence,,0,mp-votes.html#mp-5203,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,no evidence,,0,mp-votes.html#mp-5254,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5093,No recorded activity on this area (ledger from 2026-02-03),,
"Alistair Strathern (Labour, Hitchin)",,,1,,,,no evidence,,0,mp-votes.html#mp-5000,No recorded activity on this area (ledger from 2026-02-03),,
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5149,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5195,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew George (Liberal Democrat, St Ives)",,,1,,,,no evidence,,0,mp-votes.html#mp-227,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-5061,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,no evidence,,0,mp-votes.html#mp-5243,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Ranger (Labour, Wrexham)",,,1,,,,no evidence,,0,mp-votes.html#mp-5046,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,no evidence,,0,mp-votes.html#mp-4979,No recorded activity on this area (ledger from 2026-02-03),,
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-1427,No recorded activity on this area (ledger from 2026-02-03),,
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5134,No recorded activity on this area (ledger from 2026-02-03),,
"Ann Davies (Plaid Cymru, Caerfyrddin)",,,1,,,,no evidence,,0,mp-votes.html#mp-5177,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Dixon (Labour, Shipley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5281,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Gelderd (Labour, South East Cornwall)",,,1,,,,no evidence,,0,mp-votes.html#mp-5353,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Sabine (Liberal Democrat, Frome and East Somerset)",,,1,,,,no evidence,,0,mp-votes.html#mp-5286,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Turley (Labour (Co-op), Redcar)",,,1,,,,no evidence,,0,mp-votes.html#mp-4449,No recorded activity on this area (ledger from 2026-02-03),,
"Antonia Bance (Labour, Tipton and Wednesbury)",,,1,,,,no evidence,,0,mp-votes.html#mp-5048,No recorded activity on this area (ledger from 2026-02-03),,
"Aphra Brandreth (Conservative, Chester South and Eddisbury)",,,1,,,,no evidence,,0,mp-votes.html#mp-5241,No recorded activity on this area (ledger from 2026-02-03),,
"Ashley Dalton (Labour, West Lancashire)",,,1,,,,no evidence,,0,mp-votes.html#mp-4981,No recorded activity on this area (ledger from 2026-02-03),,
"Ayoub Khan (Independent, Birmingham Perry Barr)",,,1,,,,no evidence,,0,mp-votes.html#mp-5357,No recorded activity on this area (ledger from 2026-02-03),,
"Baggy Shanker (Labour (Co-op), Derby South)",,,1,,,,no evidence,,0,mp-votes.html#mp-5176,No recorded activity on this area (ledger from 2026-02-03),,
"Becky Gittins (Labour, Clwyd East)",,,1,,,,no evidence,,0,mp-votes.html#mp-5181,No recorded activity on this area (ledger from 2026-02-03),,
"Ben Coleman (Labour, Chelsea and Fulham)",,,1,,,,no evidence,,0,mp-votes.html#mp-5344,No recorded activity on this area (ledger from 2026-02-03),,
"Ben Goldsborough (Labour, South Norfolk)",,,1,,,,no evidence,,0,mp-votes.html#mp-5205,No recorded activity on this area (ledger from 2026-02-03),,
"Ben Maguire (Liberal Democrat, North Cornwall)",,,1,,,,no evidence,,0,mp-votes.html#mp-5350,No recorded activity on this area (ledger from 2026-02-03),,
"Ben Obese-Jecty (Conservative, Huntingdon)",,,1,,,,no evidence,,0,mp-votes.html#mp-5089,No recorded activity on this area (ledger from 2026-02-03),,
"Blair McDougall (Labour, East Renfrewshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5076,No recorded activity on this area (ledger from 2026-02-03),,
"Blake Stephenson (Conservative, Mid Bedfordshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5100,No recorded activity on this area (ledger from 2026-02-03),,
"Bobby Dean (Liberal Democrat, Carshalton and Wallington)",,,1,,,,no evidence,,0,mp-votes.html#mp-5083,No recorded activity on this area (ledger from 2026-02-03),,
"Bradley Thomas (Conservative, Bromsgrove)",,,1,,,,no evidence,,0,mp-votes.html#mp-5186,No recorded activity on this area (ledger from 2026-02-03),,
"Brendan O'Hara (Scottish National Party, Argyll, Bute and South Lochaber)",,,1,,,,no evidence,,0,mp-votes.html#mp-4371,No recorded activity on this area (ledger from 2026-02-03),,
"Brian Leishman (Labour, Alloa and Grangemouth)",,,1,,,,no evidence,,0,mp-votes.html#mp-5196,No recorded activity on this area (ledger from 2026-02-03),,
"Brian Mathew (Liberal Democrat, Melksham and Devizes)",,,1,,,,no evidence,,0,mp-votes.html#mp-5214,No recorded activity on this area (ledger from 2026-02-03),,
"Callum Anderson (Labour, Buckingham and Bletchley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5193,No recorded activity on this area (ledger from 2026-02-03),,
"Calum Miller (Liberal Democrat, Bicester and Woodstock)",,,1,,,,no evidence,,0,mp-votes.html#mp-5346,No recorded activity on this area (ledger from 2026-02-03),,
"Cameron Thomas (Independent, Tewkesbury)",,,1,,,,no evidence,,0,mp-votes.html#mp-5354,No recorded activity on this area (ledger from 2026-02-03),,
"Carla Denyer (Green Party, Bristol Central)",,,1,,,,no evidence,,0,mp-votes.html#mp-5102,No recorded activity on this area (ledger from 2026-02-03),,
"Caroline Voaden (Liberal Democrat, South Devon)",,,1,,,,no evidence,,0,mp-votes.html#mp-5216,No recorded activity on this area (ledger from 2026-02-03),,
"Cat Eccles (Labour, Stourbridge)",,,1,,,,no evidence,,0,mp-votes.html#mp-5293,No recorded activity on this area (ledger from 2026-02-03),,
"Catherine Atkinson (Labour, Derby North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5143,No recorded activity on this area (ledger from 2026-02-03),,
"Catherine Fookes (Labour, Monmouthshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5291,No recorded activity on this area (ledger from 2026-02-03),,
"Charlie Dewhirst (Conservative, Bridlington and The Wolds)",,,1,,,,no evidence,,0,mp-votes.html#mp-5169,No recorded activity on this area (ledger from 2026-02-03),,
"Charlie Maynard (Liberal Democrat, Witney)",,,1,,,,no evidence,,0,mp-votes.html#mp-5325,No recorded activity on this area (ledger from 2026-02-03),,
"Charlotte Cane (Liberal Democrat, Ely and East Cambridgeshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5182,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Bloore (Labour, Redditch)",,,1,,,,no evidence,,0,mp-votes.html#mp-5109,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Coghlan (Liberal Democrat, Dorking and Horley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5198,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Curtis (Labour, Milton Keynes North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5118,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Hazzard (Sinn Féin, South Down)",,,1,,,,no evidence,,0,mp-votes.html#mp-4636,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Hinchliff (Labour, North East Hertfordshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5244,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Kane (Labour, Stirling and Strathallan)",,,1,,,,no evidence,,0,mp-votes.html#mp-5155,No recorded activity on this area (ledger from 2026-02-03),,
"Chris McDonald (Labour, Stockton North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5116,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Murray (Labour, Edinburgh East and Musselburgh)",,,1,,,,no evidence,,0,mp-votes.html#mp-5245,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Vince (Labour (Co-op), Harlow)",,,1,,,,no evidence,,0,mp-votes.html#mp-5237,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Ward (Labour, Brighton Kemptown and Peacehaven)",,,1,,,,no evidence,,0,mp-votes.html#mp-5276,No recorded activity on this area (ledger from 2026-02-03),,
"Chris Webb (Labour, Blackpool South)",,,1,,,,no evidence,,0,mp-votes.html#mp-5025,No recorded activity on this area (ledger from 2026-02-03),,
"Claire Hazelgrove (Labour, Filton and Bradley Stoke)",,,1,,,,no evidence,,0,mp-votes.html#mp-5306,No recorded activity on this area (ledger from 2026-02-03),,
"Claire Hughes (Labour, Bangor Aberconwy)",,,1,,,,no evidence,,0,mp-votes.html#mp-5113,No recorded activity on this area (ledger from 2026-02-03),,
"Claire Young (Liberal Democrat, Thornbury and Yate)",,,1,,,,no evidence,,0,mp-votes.html#mp-5140,No recorded activity on this area (ledger from 2026-02-03),,
"Clive Jones (Liberal Democrat, Wokingham)",,,1,,,,no evidence,,0,mp-votes.html#mp-5207,No recorded activity on this area (ledger from 2026-02-03),,
"Connor Naismith (Labour, Crewe and Nantwich)",,,1,,,,no evidence,,0,mp-votes.html#mp-5273,No recorded activity on this area (ledger from 2026-02-03),,
"Dame Harriett Baldwin (Conservative, West Worcestershire)",,,1,,,,no evidence,,0,mp-votes.html#mp-4107,No recorded activity on this area (ledger from 2026-02-03),,
"Dame Meg Hillier (Labour (Co-op), Hackney South and Shoreditch)",,,1,,,,no evidence,,0,mp-votes.html#mp-1524,No recorded activity on this area (ledger from 2026-02-03),,
"Damian Hinds (Conservative, East Hampshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-3969,No recorded activity on this area (ledger from 2026-02-03),,
"Damien Egan (Labour, Bristol North East)",,,1,,,,no evidence,,0,mp-votes.html#mp-5010,No recorded activity on this area (ledger from 2026-02-03),,
"Dan Aldridge (Labour, Weston-super-Mare)",,,1,,,,no evidence,,0,mp-votes.html#mp-5172,No recorded activity on this area (ledger from 2026-02-03),,
"Dan Norris (Independent, North East Somerset and Hanham)",,,1,,,,no evidence,,0,mp-votes.html#mp-221,No recorded activity on this area (ledger from 2026-02-03),,
"Dan Tomlinson (Labour, Chipping Barnet)",,,1,,,,no evidence,,0,mp-votes.html#mp-5282,No recorded activity on this area (ledger from 2026-02-03),,
"Danny Beales (Labour, Uxbridge and South Ruislip)",,,1,,,,no evidence,,0,mp-votes.html#mp-5339,No recorded activity on this area (ledger from 2026-02-03),,
"Darren Paffey (Labour, Southampton Itchen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5270,No recorded activity on this area (ledger from 2026-02-03),,
"Dave Robertson (Labour, Lichfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-5126,No recorded activity on this area (ledger from 2026-02-03),,
"David Baines (Labour, St Helens North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5092,No recorded activity on this area (ledger from 2026-02-03),,
"David Burton-Sampson (Labour, Southend West and Leigh)",,,1,,,,no evidence,,0,mp-votes.html#mp-5106,No recorded activity on this area (ledger from 2026-02-03),,
"David Chadwick (Liberal Democrat, Brecon, Radnor and Cwm Tawe)",,,1,,,,no evidence,,0,mp-votes.html#mp-5284,No recorded activity on this area (ledger from 2026-02-03),,
"David Pinto-Duschinsky (Labour, Hendon)",,,1,,,,no evidence,,0,mp-votes.html#mp-5360,No recorded activity on this area (ledger from 2026-02-03),,
"David Reed (Conservative, Exmouth and Exeter East)",,,1,,,,no evidence,,0,mp-votes.html#mp-5347,No recorded activity on this area (ledger from 2026-02-03),,
"David Williams (Labour, Stoke-on-Trent North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5151,No recorded activity on this area (ledger from 2026-02-03),,
"Deirdre Costigan (Labour, Ealing Southall)",,,1,,,,no evidence,,0,mp-votes.html#mp-5075,No recorded activity on this area (ledger from 2026-02-03),,
"Douglas Lumsden (Conservative, Aberdeen South)",,,1,,,,no evidence,,0,mp-votes.html#mp-5450,No recorded activity on this area (ledger from 2026-02-03),,
"Douglas McAllister (Labour, West Dunbartonshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5057,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Al Pinkerton (Liberal Democrat, Surrey Heath)",,,1,,,,no evidence,,0,mp-votes.html#mp-5288,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Allison Gardner (Labour, Stoke-on-Trent South)",,,1,,,,no evidence,,0,mp-votes.html#mp-5334,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Beccy Cooper (Labour, Worthing West)",,,1,,,,no evidence,,0,mp-votes.html#mp-5307,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Danny Chambers (Liberal Democrat, Winchester)",,,1,,,,no evidence,,0,mp-votes.html#mp-5304,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Ellie Chowns (Green Party, North Herefordshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5249,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Jeevun Sandher (Labour, Loughborough)",,,1,,,,no evidence,,0,mp-votes.html#mp-5259,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Luke Evans (Conservative, Hinckley and Bosworth)",,,1,,,,no evidence,,0,mp-votes.html#mp-4781,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Peter Prinsley (Labour, Bury St Edmunds and Stowmarket)",,,1,,,,no evidence,,0,mp-votes.html#mp-5163,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Roz Savage (Liberal Democrat, South Cotswolds)",,,1,,,,no evidence,,0,mp-votes.html#mp-5352,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Scott Arthur (Labour, Edinburgh South West)",,,1,,,,no evidence,,0,mp-votes.html#mp-5212,No recorded activity on this area (ledger from 2026-02-03),,
"Dr Zubir Ahmed (Labour, Glasgow South West)",,,1,,,,no evidence,,0,mp-votes.html#mp-5213,No recorded activity on this area (ledger from 2026-02-03),,
"Dáire Hughes (Sinn Féin, Newry and Armagh)",,,1,,,,no evidence,,0,mp-votes.html#mp-5292,No recorded activity on this area (ledger from 2026-02-03),,
"Edward Morello (Liberal Democrat, West Dorset)",,,1,,,,no evidence,,0,mp-votes.html#mp-5326,No recorded activity on this area (ledger from 2026-02-03),,
"Elaine Stewart (Labour, Ayr, Carrick and Cumnock)",,,1,,,,no evidence,,0,mp-votes.html#mp-5206,No recorded activity on this area (ledger from 2026-02-03),,
"Emma Foody (Labour (Co-op), Cramlington and Killingworth)",,,1,,,,no evidence,,0,mp-votes.html#mp-5029,No recorded activity on this area (ledger from 2026-02-03),,
"Emma Reynolds (Labour, Wycombe)",,,1,,,,no evidence,,0,mp-votes.html#mp-4077,No recorded activity on this area (ledger from 2026-02-03),,
"Esther McVey (Conservative, Tatton)",,,1,,,,no evidence,,0,mp-votes.html#mp-4084,No recorded activity on this area (ledger from 2026-02-03),,
"Euan Stainbank (Labour, Falkirk)",,,1,,,,no evidence,,0,mp-votes.html#mp-5110,No recorded activity on this area (ledger from 2026-02-03),,
"Frank McNally (Labour, Coatbridge and Bellshill)",,,1,,,,no evidence,,0,mp-votes.html#mp-5183,No recorded activity on this area (ledger from 2026-02-03),,
"Fred Thomas (Labour, Plymouth Moor View)",,,1,,,,no evidence,,0,mp-votes.html#mp-5174,No recorded activity on this area (ledger from 2026-02-03),,
"Freddie van Mierlo (Liberal Democrat, Henley and Thame)",,,1,,,,no evidence,,0,mp-votes.html#mp-5296,No recorded activity on this area (ledger from 2026-02-03),,
"Gareth Snell (Labour (Co-op), Stoke-on-Trent Central)",,,1,,,,no evidence,,0,mp-votes.html#mp-4595,No recorded activity on this area (ledger from 2026-02-03),,
"Gen Kitchen (Labour, Wellingborough and Rushden)",,,1,,,,no evidence,,0,mp-votes.html#mp-5011,No recorded activity on this area (ledger from 2026-02-03),,
"Georgia Gould (Labour, Queen's Park and Maida Vale)",,,1,,,,no evidence,,0,mp-votes.html#mp-5305,No recorded activity on this area (ledger from 2026-02-03),,
"Gideon Amos (Liberal Democrat, Taunton and Wellington)",,,1,,,,no evidence,,0,mp-votes.html#mp-5250,No recorded activity on this area (ledger from 2026-02-03),,
"Gill German (Labour, Clwyd North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5104,No recorded activity on this area (ledger from 2026-02-03),,
"Gordon McKee (Labour, Glasgow South)",,,1,,,,no evidence,,0,mp-votes.html#mp-5189,No recorded activity on this area (ledger from 2026-02-03),,
"Graeme Downie (Labour, Dunfermline and Dollar)",,,1,,,,no evidence,,0,mp-votes.html#mp-5275,No recorded activity on this area (ledger from 2026-02-03),,
"Graham Leadbitter (Scottish National Party, Moray West, Nairn and Strathspey)",,,1,,,,no evidence,,0,mp-votes.html#mp-5277,No recorded activity on this area (ledger from 2026-02-03),,
"Gregory Stafford (Conservative, Farnham and Bordon)",,,1,,,,no evidence,,0,mp-votes.html#mp-5351,No recorded activity on this area (ledger from 2026-02-03),,
"Gurinder Singh Josan (Labour, Smethwick)",,,1,,,,no evidence,,0,mp-votes.html#mp-5059,No recorded activity on this area (ledger from 2026-02-03),,
"Hannah Spencer (Green Party, Gorton and Denton)",,,1,,,,no evidence,,0,mp-votes.html#mp-5447,No recorded activity on this area (ledger from 2026-02-03),,
"Harpreet Uppal (Labour, Huddersfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-5289,No recorded activity on this area (ledger from 2026-02-03),,
"Heidi Alexander (Labour, Swindon South)",,,1,,,,no evidence,,0,mp-votes.html#mp-4038,No recorded activity on this area (ledger from 2026-02-03),,
"Helen Maguire (Liberal Democrat, Epsom and Ewell)",,,1,,,,no evidence,,0,mp-votes.html#mp-5336,No recorded activity on this area (ledger from 2026-02-03),,
"Helena Dollimore (Labour (Co-op), Hastings and Rye)",,,1,,,,no evidence,,0,mp-votes.html#mp-5192,No recorded activity on this area (ledger from 2026-02-03),,
"Henry Tufnell (Labour, Mid and South Pembrokeshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5121,No recorded activity on this area (ledger from 2026-02-03),,
"Ian Roome (Liberal Democrat, North Devon)",,,1,,,,no evidence,,0,mp-votes.html#mp-5138,No recorded activity on this area (ledger from 2026-02-03),,
"Ian Sollom (Liberal Democrat, St Neots and Mid Cambridgeshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5096,No recorded activity on this area (ledger from 2026-02-03),,
"Imogen Walker (Labour, Hamilton and Clyde Valley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5136,No recorded activity on this area (ledger from 2026-02-03),,
"Imran Hussain (Labour, Bradford East)",,,1,,,,no evidence,,0,mp-votes.html#mp-4394,No recorded activity on this area (ledger from 2026-02-03),,
"Iqbal Mohamed (Independent, Dewsbury and Batley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5268,No recorded activity on this area (ledger from 2026-02-03),,
"Irene Campbell (Labour, North Ayrshire and Arran)",,,1,,,,no evidence,,0,mp-votes.html#mp-5145,No recorded activity on this area (ledger from 2026-02-03),,
"Jack Abbott (Labour (Co-op), Ipswich)",,,1,,,,no evidence,,0,mp-votes.html#mp-5131,No recorded activity on this area (ledger from 2026-02-03),,
"Jacob Collier (Labour, Burton and Uttoxeter)",,,1,,,,no evidence,,0,mp-votes.html#mp-5077,No recorded activity on this area (ledger from 2026-02-03),,
"Jade Botterill (Labour, Ossett and Denby Dale)",,,1,,,,no evidence,,0,mp-votes.html#mp-5236,No recorded activity on this area (ledger from 2026-02-03),,
"James Asser (Labour, West Ham and Beckton)",,,1,,,,no evidence,,0,mp-votes.html#mp-5211,No recorded activity on this area (ledger from 2026-02-03),,
"James Cartlidge (Conservative, South Suffolk)",,,1,,,,no evidence,,0,mp-votes.html#mp-4519,No recorded activity on this area (ledger from 2026-02-03),,
"James MacCleary (Liberal Democrat, Lewes)",,,1,,,,no evidence,,0,mp-votes.html#mp-5265,No recorded activity on this area (ledger from 2026-02-03),,
"James Naish (Labour, Rushcliffe)",,,1,,,,no evidence,,0,mp-votes.html#mp-5047,No recorded activity on this area (ledger from 2026-02-03),,
"Jas Athwal (Labour, Ilford South)",,,1,,,,no evidence,,0,mp-votes.html#mp-5227,No recorded activity on this area (ledger from 2026-02-03),,
"Jayne Kirkham (Labour (Co-op), Truro and Falmouth)",,,1,,,,no evidence,,0,mp-votes.html#mp-5279,No recorded activity on this area (ledger from 2026-02-03),,
