Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Actual vote,Evaluate
"Matt Vickers (Conservative, Stockton West)",,1,,,,,"a speech, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4844,"2022-01-12 DEBATE: Spoke:  Youth Crime and Antisocial Behaviour (re: family breakdown) ""Youth crime is a complex matter that requires a multifaceted, co-ordinated and often localised response. The causes of youth crime are diverse: education, family breakdown, poor parenting, a lack of creative output, and poor outlooks and opportunities. There..."" [+: Cites family breakdown as cause of youth crime, implicitly valuing family stability]",,
"Rosie Duffield (Independent, Canterbury)",,1,,,,,"a question, 17 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4616,"2025-03-27 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, if he will meet representatives of women and children's rights groups to discuss proposals announced by the Law Commission on 29 March 2023 in relation to surrogacy."" [+: Seeks engagement with women's and children's rights groups on surrogacy reform]",,
"Sarah Champion (Labour, Rotherham)",,1,,,,,"a speech, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4267,"2022-01-12 DEBATE: Spoke: Marriage and Civil Partnership  (Minimum Age) Bill (re: parental consent) ""This is a big problem. Internationally, 12 million girls are married before the age of 18 each year. That is 23 girls every minute. The UK signed up to the UN definition of a child being someone up to the age of 18, but child marriage is still prevalent in..."" [+: Supports raising marriage age to protect children from forced marriage, family-protective stance]",,
"Sarah Dyke (Liberal Democrat, Glastonbury and Somerton)",,1,,,,,"a speech, 24 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4995,"2024-09-03 DEBATE: Spoke:  SEND Provision: Somerset (re: home education) ""I turn my attention now to a consequence of the failure of SEND services in Somerset. About 2,000 children in Somerset receive a home education. Although the council believes some of the children are receiving a home education for an entirely legitimate..."" [+: Defends legitimacy of home education choice, aligning with parental rights in education]",,
"Sir Iain Duncan Smith (Conservative, Chingford and Woodford Green)",,1,,,,,"a speech, 4 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-152,"2022-03-29 DEBATE: Spoke: Gambling-related Harm (re: family breakdown) ""We know something about debt that is really important, and the Centre for Social Justice did a lot of work on this: debt is the single biggest cause of family breakdown. It is a dramatic and damaging process that destroys lives. It has led, as we know, to..."" [+: Links gambling debt to family breakdown, supporting reforms to protect families]",,
"Stephen Morgan (Labour, Portsmouth South)",,1,,,,,"a speech, 19 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4653,"2025-01-30 DEBATE: Spoke: Children's Wellbeing and Schools Bill (Eighth sitting) ""Amendment 35 seeks to expand the eligibility of the home education consent process to include those children and families receiving support and services under section 17 of the Children Act 1989. The Government are investing £500 million to support the..."" [+: Opposes expanding oversight of home education, defending parental choice]",,
"Anna McMorrin (Labour, Cardiff North)",,,1,,,,"a question, 7 years ago","thin (little on record, none of it directional)",2,mp-votes.html#mp-4632,"2020-01-30 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, if he will publish the Government's response to the Law Commission's consultation entitled Building families through surrogacy: a new law, which closed on 11 October 2019."" [0: Neutral request to publish government response on surrogacy consultation] | 2020-01-30 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether the Government plans to bring forward legislative proposals on surrogacy before the planned report on the issue by the Law Commission in 2021; and if he will make a statement."" [0: Neutral procedural question on surrogacy legislative timing]",,
"Andy Slaughter (Labour, Hammersmith and Chiswick)",,,1,,,,"a speech, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-1516,"2022-01-27 DEBATE: Spoke: Humanist Marriages ""It is not only Labour that supports humanists and humanist marriages. As I said, colleagues from across the House support legal recognition of them—not just the Members who signed the letter that was published today but those who subscribed to speak in the..."" [0: Supports humanist marriage recognition; neutral effect on traditional marriage stance]",,
"Chris Philp (Conservative, Croydon South)",,,1,,,,"a speech, 4 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4503,"2022-12-19 DEBATE: Spoke: County Lines (re: family breakdown) ""I agree entirely with the sentiment that the hon. Gentleman expresses. It is vital to stop younger people, perhaps early and mid-teenagers, falling into gang culture. Very often that is because they have suffered from family breakdown or are in difficult..."" [0: Notes family breakdown as factor in gang crime, factual not a family policy stance]",,
"Daisy Cooper (Liberal Democrat, St Albans)",,,1,,,,"a question, 18 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4769,"2025-03-04 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, pursuant to the Answer of 31 January to Question 25639 on Surrogacy, whether he plans to respond to the Law Commission’s report on surrogacy in this Parliament."" [0: Neutral request for timing of surrogacy law response]",,
"Dame Siobhain McDonagh (Labour, Mitcham and Morden)",,,1,,,,"a speech, 22 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-193,"2024-10-30 DEBATE: Spoke: Children’s Hospices: Funding (re: family breakdown) ""The breakdown in hospices and children’s hospices always has a cost. If a family cannot get support to look after a child with a life-limiting condition at home, in the end the NHS and social services will step in. I appreciate that it is difficult for..."" [0: Discussion of hospice funding costs, unrelated to marriage and family stance]",,
"David Mundell (Conservative, Dumfriesshire, Clydesdale and Tweeddale)",,,1,,,,"a speech, 6 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-1512,"2026-03-12 DEBATE: Spoke: Marriage Regulations (re: weddings law) ""Although the Law Commission’s report was extensive and thoughtful, its focus was largely on where weddings can take place and who can conduct them. It suggested moving towards a system focused on authorised officiants, rather than on licensed buildings, which..."" [0: Procedural push to speed up marriage administration, not about marriage definition or values]",,
"Dr Luke Evans (Conservative, Hinckley and Bosworth)",,,1,,,,"a speech, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4781,"2022-02-25 DEBATE: Spoke: Marriage and Civil Partnership (Minimum Age) Bill (re: marriage law) ""The Government remains committed to considering the case for more comprehensive and enduring reform to marriage law once the Law Commission has completed its fundamental review of the law in this area. The Law Commission will present options for reforms to..."" [0: Government response on marriage law review, procedural and non-directional]",,
"Frank McNally (Labour, Coatbridge and Bellshill)",,,1,,,,"a question, 22 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5183,"2024-10-18 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether he plans to respond to the report by the Law Commission of England and Wales and the Scottish Law Commission entitled Building families through surrogacy: a new law, published on 28 March 2"" [0: Neutral procedural question on government response to surrogacy report]",,
"Harriet Cross (Conservative, Gordon and Buchan)",,,1,,,,"a question, 18 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5311,"2025-03-10 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, when the Government plans to publish its full response to the Law Commission’s report Building Families Through Surrogacy: A New Law, published in March 2023, following its interim response on 8 No"" [0: Neutral request for timing of surrogacy report response]",,
"Jerome Mayhew (Conservative, Broadland and Fakenham)",,,1,,,,"a speech, 19 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4739,"2025-02-06 DEBATE: Spoke:  Financial Education (re: family breakdown) ""We know that financial stress has a huge impact both on our economy and on our society. Way back in 2014, Barclays bank did research that showed that 17.5 million hours were lost to the economy because of financial stress. We also know that financial stress,..."" [0: Discusses financial stress and PSHE, no direct stance on marriage or family policy]",,
"Jim McMahon (Labour (Co-op), Oldham West, Chadderton and Royton)",,,1,,,,"a speech, 4 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4569,"2022-06-30 DEBATE: Spoke:  Child Sexual Exploitation and Safeguarding in Oldham (re: CSE) ""When the report into abuse in Rotherham was made public, Oldham Council carried out a full review of taxi licensing. The increasingly robust approach was challenged, including through successful appeals in the magistrates court, but in the end, we had the..."" [0: Discusses council taxi licensing response to grooming, unrelated to listed areas]",,
"John Whitby (Labour, Derbyshire Dales)",,,1,,,,"a speech, 7 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5342,"2026-01-28 DEBATE: Spoke: Local Authority Children’s Services (re: Children's Wellbeing and Schools) ""There are many other positive changes to highlight, including those ensuring greater oversight on home schooling for children subject to a child protection order. The roll-out of the Staying Close programme will give care leavers from residential care—the..."" [0: Discusses oversight for child-protection cases only, not general home schooling parental rights]",,
"Lucy Powell (Labour (Co-op), Manchester Central)",,,1,,,,"a speech, 19 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4263,"2025-02-06 DEBATE: Spoke:  Business of the House (re: Gender Recognition Act) ""This week marks LGBT+ History Month, which is a chance for us to reflect and remember the contribution of the LGBT community and the discrimination that they still too often face. The Labour party is proud to be the party of equality, having abolished section..."" [0: Mostly procedural business questions; no substantive stance on relevant policy areas]",,
"Luke Pollard (Labour (Co-op), Plymouth Sutton and Devonport)",,,1,,,,"a question, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4682,"2021-12-02 PQ: Marriage: Humanism (re: Law Commission) ""To ask the Secretary of State for Justice, what his timeline is for responding to the Law Commission marriage review following its publication."" [0: Neutral procedural question about government response timeline to marriage review]",,
"Mr Andrew Snowden (Conservative, Fylde)",,,1,,,,"a question, 14 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5072,"2025-07-01 PQ: Surrogacy: Mental Health ""To ask the Secretary of State for Justice, with reference to the Law Commission report entitled Building families through surrogacy: a new law, published on 28 March 2023, if she will make an assessment of the potential impact of implementing the recommen"" [0: Neutral request for assessment of Law Commission surrogacy report]",,
"Mr David Lammy (Labour, Tottenham)",,,1,,,,"a speech, 6 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-206,"2026-03-10 DEBATE: Spoke: Courts and Tribunals Bill (re: Law Commission) ""This Bill puts victims first, as well as delivering the swift justice that they deserve. It will also strengthen protections for victims in court. In response to a Law Commission recommendation, clauses 8 and 9 tighten the rules of evidence in sexual offences..."" [0: Procedural discussion of court reforms and victim protections, no family/marriage angle]",,
"Neil Coyle (Labour, Bermondsey and Old Southwark)",,,1,,,,"a question, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4368,"2022-01-24 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what steps his Department is taking to reform surrogacy law in response to the proposals set out in the Law Commission’s 2019 Consultation Paper Building families through surrogacy: a new law; and"" [0: Neutral information-seeking on surrogacy law reform progress]",,
"Nigel Huddleston (Conservative, Droitwich and Evesham)",,,1,,,,"a speech, 4 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4407,"2022-03-29 DEBATE: Spoke: Gambling-related Harm (re: family breakdown) ""The voice of people with personal experience of harm was thoroughly represented among the submissions to our call for evidence, and I, the gambling Minister—the Under-Secretary of State for Digital, Culture, Media and Sport, my hon. Friend the Member for..."" [0: Discusses gambling harm reform, not related to marriage or family policy directly]",,
"Paula Barker (Labour, Liverpool Wavertree)",,,1,,,,"a speech, 2 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4828,"2024-05-01 DEBATE: Spoke:  Youth Homelessness (re: family breakdown) ""All our young people are struggling, across the board, but care leavers, those who cannot access mental health support and those who have suffered family breakdown, have untold trauma and then fall on the wrong side of a homeless emergency—who will speak up..."" [0: Notes family breakdown as one cause of youth homelessness, no policy stance]",,
"Rebecca Paul (Conservative, Reigate)",,,1,,,,"a speech, 13 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5297,"2025-07-16 DEBATE: Spoke:  Giving Every Child the  Best Start in Life (re: family hub) ""Looking at the Government’s approach in the round, the “best start in life” strategy contains much that the Opposition welcome in principle, such as more family hubs, the expansion of funded childcare to 30 hours a week for working parents of children from..."" [0: General welcome of family hubs and childcare policy, no specific stance]",,
"Rushanara Ali (Labour, Bethnal Green and Stepney)",,,1,,,,"a speech, 22 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4138,"2024-10-23 DEBATE: Spoke: Rough Sleeping (re: family breakdown) ""Hon. Members have highlighted the consequences of homelessness and rough sleeping, including the scarring effects of the physical and mental health challenges that people face, and the long-term consequences for families, children and young people...."" [0: Describes effects of homelessness on families, no direct family policy stance]",,
"Sam Rushworth (Labour, Bishop Auckland)",,,1,,,,"a speech, 21 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5108,"2024-11-21 DEBATE: Spoke:  International Men’s Day (re: family breakdown) ""The crisis in men’s mental health is one of the most significant issues of our time. It negatively impacts not only on the individuals concerned, but on their relationships with family, friends and work colleagues and, tragically, it is increasingly leading..."" [0: Discusses men's mental health impact on family, no explicit family policy stance]",,
"Sarah Edwards (Labour, Tamworth)",,,1,,,,"a speech, 15 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5001,"2025-06-12 DEBATE: Spoke: Humanist Marriage (re: marriage law) ""Why has legal recognition not yet been granted? Parliament gave the Government the power to introduce legal recognition for humanist marriages through a simple order under the Marriage (Same Sex Couples) Act 2013, but the Act required a public consultation..."" [0: Advocates cheaper legal recognition for humanist weddings, neutral on traditional marriage/family stance]",,
"Sarah Olney (Liberal Democrat, Richmond Park)",,,1,,,,"a question, 3 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4591,"2023-11-14 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what assessment he has made of the implications for his policies of the report by the Law Commission entitled Building Families Through Surrogacy: A New Law, published on 29 March 2023; and whether"" [0: Neutral inquiry into Law Commission surrogacy report implications]",,
"Sarah Owen (Labour, Luton North)",,,1,,,,"a speech, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4777,"2021-07-01 DEBATE: Spoke:  Pride Month (re: Gender Recognition Act) ""However, I speak to some LGBTQ+ people and, while there is so much to be proud of, there is sometimes a resurgence of fear. I know, as co-chair of the all-party parliamentary group on hate crime, that in the past year the hate crime of homophobia, as with..."" [0: General remarks on LGBTQ+ fear and hate crime, not specifically addressing conversion therapy bans]",,
"Sir Stephen Timms (Labour, East Ham)",,,1,,,,"a question, 2 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-163,"2024-03-14 PQ: Family Conciliation Services (re: family breakdown) ""To ask the Secretary of State for Education, whether she has made an estimate of the number of therapists offering reunification therapy services to help with cases of family breakdown."" [0: Factual query on reunification therapy provision, no stance shown]",,
"Stephen Kinnock (Labour, Aberafan Maesteg)",,,1,,,,"a question, 3 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4359,"2023-12-01 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what plans she has to implement the recommendations of the Law Commission's report Building families through surrogacy: a new law, HC1236, on (a) establishing a new pathway for surrogacy in which i"" [0: Neutral inquiry into government plans on Law Commission surrogacy recommendations]",,
"Wendy Morton (Conservative, Aldridge-Brownhills)",,,1,,,,"a speech, 3 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4358,"2023-11-08 DEBATE: Spoke: Breaking Down Barriers to Opportunity (re: Law Commission) ""It has become apparent in recent years—and in my inbox—that a raft of problems can affect leaseholders. [ Interruption. ] I see the Housing Minister, my hon. Friend the Member for Redditch (Rachel Maclean), nodding in agreement. Examples include extortionate..."" [0: Discusses leasehold housing problems, unrelated to marriage and family position]",,
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,no evidence,,0,mp-votes.html#mp-5142,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Dance (Liberal Democrat, Yeovil)",,,1,,,,no evidence,,0,mp-votes.html#mp-5191,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,no evidence,,0,mp-votes.html#mp-5168,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Thompson (Labour, Erewash)",,,1,,,,no evidence,,0,mp-votes.html#mp-5044,No recorded activity on this area (ledger from 2026-02-03),,
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5320,No recorded activity on this area (ledger from 2026-02-03),,
"Afzal Khan (Labour, Manchester Rusholme)",,,1,,,,no evidence,,0,mp-votes.html#mp-4671,No recorded activity on this area (ledger from 2026-02-03),,
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,no evidence,,0,mp-votes.html#mp-5235,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5185,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Mak (Conservative, Havant)",,,1,,,,no evidence,,0,mp-votes.html#mp-4484,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,no evidence,,0,mp-votes.html#mp-5080,No recorded activity on this area (ledger from 2026-02-03),,
"Alberto Costa (Conservative, South Leicestershire)",,,1,,,,no evidence,,0,mp-votes.html#mp-4439,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Baker (Labour, Aldershot)",,,1,,,,no evidence,,0,mp-votes.html#mp-5173,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Ballinger (Labour, Halesowen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5238,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Brewer (Liberal Democrat, North East Hampshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5263,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Burghart (Conservative, Brentwood and Ongar)",,,1,,,,no evidence,,0,mp-votes.html#mp-4613,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Davies-Jones (Labour, Pontypridd)",,,1,,,,no evidence,,0,mp-votes.html#mp-4849,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Easton (Independent, North Down)",,,1,,,,no evidence,,0,mp-votes.html#mp-5262,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,no evidence,,0,mp-votes.html#mp-5141,No recorded activity on this area (ledger from 2026-02-03),,
"Alex McIntyre (Labour, Gloucester)",,,1,,,,no evidence,,0,mp-votes.html#mp-5349,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Norris (Labour (Co-op), Nottingham North and Kimberley)",,,1,,,,no evidence,,0,mp-votes.html#mp-4641,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Sobel (Labour (Co-op), Leeds Central and Headingley)",,,1,,,,no evidence,,0,mp-votes.html#mp-4658,No recorded activity on this area (ledger from 2026-02-03),,
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5133,No recorded activity on this area (ledger from 2026-02-03),,
"Alicia Kearns (Conservative, Rutland and Stamford)",,,1,,,,no evidence,,0,mp-votes.html#mp-4805,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,no evidence,,0,mp-votes.html#mp-5283,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,no evidence,,0,mp-votes.html#mp-5203,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,no evidence,,0,mp-votes.html#mp-5254,No recorded activity on this area (ledger from 2026-02-03),,
"Alison McGovern (Labour, Birkenhead)",,,1,,,,no evidence,,0,mp-votes.html#mp-4083,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5093,No recorded activity on this area (ledger from 2026-02-03),,
"Alistair Strathern (Labour, Hitchin)",,,1,,,,no evidence,,0,mp-votes.html#mp-5000,No recorded activity on this area (ledger from 2026-02-03),,
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5149,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Bowie (Conservative, West Aberdeenshire and Kincardine)",,,1,,,,no evidence,,0,mp-votes.html#mp-4601,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5195,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew George (Liberal Democrat, St Ives)",,,1,,,,no evidence,,0,mp-votes.html#mp-227,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Griffith (Conservative, Arundel and South Downs)",,,1,,,,no evidence,,0,mp-votes.html#mp-4874,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-5061,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,no evidence,,0,mp-votes.html#mp-5243,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Ranger (Labour, Wrexham)",,,1,,,,no evidence,,0,mp-votes.html#mp-5046,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Rosindell (Reform UK, Romford)",,,1,,,,no evidence,,0,mp-votes.html#mp-1447,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,no evidence,,0,mp-votes.html#mp-4979,No recorded activity on this area (ledger from 2026-02-03),,
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-1427,No recorded activity on this area (ledger from 2026-02-03),,
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5134,No recorded activity on this area (ledger from 2026-02-03),,
"Andy McDonald (Labour, Middlesbrough and Thornaby East)",,,1,,,,no evidence,,0,mp-votes.html#mp-4269,No recorded activity on this area (ledger from 2026-02-03),,
"Angela Rayner (Labour, Ashton-under-Lyne)",,,1,,,,no evidence,,0,mp-votes.html#mp-4356,No recorded activity on this area (ledger from 2026-02-03),,
"Ann Davies (Plaid Cymru, Caerfyrddin)",,,1,,,,no evidence,,0,mp-votes.html#mp-5177,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Dixon (Labour, Shipley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5281,No recorded activity on this area (ledger from 2026-02-03),,
