Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Mr Phillip Brett (Democratic Unionist Party) - North Belfast,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Robbie Butler (Ulster Unionist Party) - Lagan Valley,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Stephen Dunne (Democratic Unionist Party) - North Down,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Tom Buchanan (Democratic Unionist Party) - West Tyrone,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Trevor Clarke (Democratic Unionist Party) - South Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mrs Deborah Erskine (Democratic Unionist Party) - Fermanagh and South Tyrone,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mrs Diane Dodds (Democratic Unionist Party) - Upper Bann,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mrs Julie Middleton (Democratic Unionist Party) - Foyle,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mrs Pam Cameron (Democratic Unionist Party) - South Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Ms Cheryl Brownlee (Democratic Unionist Party) - East Antrim,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Ms Diana Armstrong (Ulster Unionist Party) - Fermanagh and South Tyrone,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Ms Diane Forsythe (Democratic Unionist Party) - South Down,1,,,,,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE AYE: Justice Bill amendment 97 [+2: Voted to require guidance on single-sex accommodation for women prisoners -- the women's-prison-estate safegua],Unionist
Mr Colin McGrath (Social Democratic and Labour Party) - South Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2024-11-28 QUESTION AQW 18961/22-27: ""To ask the Minister of Health (i) to detail the funding position for the Royal Victoria Ho"" [activity, not direction]",
Dr Steve Aiken OBE (Ulster Unionist Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Cathal Boylan (Sinn Féin) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Daniel McCrossan (Social Democratic and Labour Party) - West Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Edwin Poots (Democratic Unionist Party) - South Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr John Blair (Alliance Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr John Stewart (Ulster Unionist Party) - East Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Stewart Dickson (Alliance Party) - East Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Emma Little-Pengelly (Democratic Unionist Party) - Lagan Valley,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Carál Ní Chuilín (Sinn Féin) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Gerry Carroll (People Before Profit Alliance) - West Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",3,,"2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone] | 2025-01-14 QUESTION AQW 20492/22-27: ""To ask the Minister of Health to detail (i) the evidence that informed the Executive’s dec"" [activity, not direction] | 2024-12-12 QUESTION AQW 19804/22-27: ""To ask the Minister of Health to detail any transgender advocacy groups he met or engaged "" [activity, not direction]",Other
Ms Claire Sugden (Independent) - East Londonderry,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",3,,"2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone] | 2026-01-21 QUESTION AQW 38707/22-27: ""To ask the Minister of Education to detail any mechanisms in place to ensure consistent de"" [activity, not direction] | 2025-11-06 QUESTION AQW 34848/22-27: ""To ask the Minister of Education to detail any provision of Relationships and Sexuality Ed"" [activity, not direction]",Unionist
Mrs Michelle Guy (Alliance Party) - Lagan Valley,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",2,,"2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone] | 2024-10-24 QUESTION AQW 17389/22-27: ""To ask the Minister of Education for his assessment of whether the delivery of comprehensi"" [activity, not direction]",Other
Ms Cara Hunter (Social Democratic and Labour Party) - East Londonderry,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",2,,"2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone] | 2025-09-09 QUESTION AQW 30681/22-27: ""To ask the Minister of Education to detail any assessment his Department has made of the i"" [activity, not direction]",Nationalist
Ms Sinéad McLaughlin (Social Democratic and Labour Party) - Foyle,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",2,,"2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone] | 2024-12-13 QUESTION AQW 19918/22-27: ""To ask the Minister of Health to detail any support mechanisms that have been introduced t"" [activity, not direction]",Nationalist
Dr Caoimhe Archibald (Sinn Féin) - East Londonderry,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Miss Deirdre Hargey (Sinn Féin) - South Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Miss Jemma Dolan (Sinn Féin) - Fermanagh and South Tyrone,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Miss Nicola Brogan (Sinn Féin) - West Tyrone,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Miss Nuala McAllister (Alliance Party) - North Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Miss Áine Murphy (Sinn Féin) - Fermanagh and South Tyrone,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Miss Órlaithí Flynn (Sinn Féin) - West Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Andrew McMurray (Alliance Party) - South Down,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr Andrew Muir (Alliance Party) - North Down,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr Colm Gildernew (Sinn Féin) - Fermanagh and South Tyrone,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Danny Baker (Sinn Féin) - West Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Danny Donnelly (Alliance Party) - East Antrim,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr David Honeyford (Alliance Party) - Lagan Valley,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr Declan Kearney (Sinn Féin) - South Antrim,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Declan McAleer (Sinn Féin) - West Tyrone,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Eóin Tennyson (Alliance Party) - Upper Bann,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr Gerry Kelly (Sinn Féin) - North Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr John O'Dowd (Sinn Féin) - Upper Bann,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Justin McNulty (Social Democratic and Labour Party) - Newry and Armagh,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Maolíosa McHugh (Sinn Féin) - West Tyrone,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Mark Durkan (Social Democratic and Labour Party) - Foyle,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Matthew O'Toole (Social Democratic and Labour Party) - South Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Nick Mathison (Alliance Party) - Strangford,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr Pat Sheehan (Sinn Féin) - West Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Patsy McGlone (Social Democratic and Labour Party) - Mid Ulster,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Peter McReynolds (Alliance Party) - East Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mr Philip McGuigan (Sinn Féin) - North Antrim,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mr Pádraig Delargy (Sinn Féin) - Foyle,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mrs Cathy Mason (Sinn Féin) - South Down,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mrs Ciara Ferguson (Sinn Féin) - Foyle,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mrs Linda Dillon (Sinn Féin) - Mid Ulster,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Mrs Naomi Long (Alliance Party) - East Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Mrs Sinéad Ennis (Sinn Féin) - South Down,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Ms Aisling Reilly (Sinn Féin) - West Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Ms Aoife Finnegan (Sinn Féin) - Newry and Armagh,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Ms Connie Egan (Alliance Party) - North Down,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Ms Emma Sheerin (Sinn Féin) - Mid Ulster,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Ms Kate Nicholl (Alliance Party) - South Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Ms Kellie Armstrong (Alliance Party) - Strangford,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Ms Liz Kimmins (Sinn Féin) - Newry and Armagh,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Ms Michelle O'Neill (Sinn Féin) - Mid Ulster,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Nationalist
Ms Paula Bradshaw (Alliance Party) - South Belfast,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Ms Sian Mulholland (Alliance Party) - North Antrim,,,,,1,,"a vote, 2 months ago","strong (recorded vote, human-confirmed meaning line)",1,,2026-06-30 VOTE NO: Justice Bill amendment 97 [-2: Voted against requiring the Department to issue guidance protecting single-sex accommodation for women prisone],Other
Totals - 90 decision-makers,32,0,10,0,48,,,,,,,
