Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Miss Jemma Dolan (Sinn Féin) - Fermanagh and South Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2026-04-14 QUESTION AQW 43772/22-27: ""To ask the Minister of Education to detail any regard that is given to the Integrated Educ"" [activity, not direction]",
Miss Michelle McIlveen (Democratic Unionist Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2025-11-19 QUESTION AQW 35884/22-27: ""To ask the Minister of Education for his assessment of what the Supreme Court judgement de"" [activity, not direction]",
Mr Alan Chambers (Ulster Unionist Party) - North Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2026-01-22 QUESTION AQO 3030/22-27: ""To ask the Minister of Education to outline the legal costs incurred by his Department in "" [activity, not direction]",
Mr Danny Donnelly (Alliance Party) - East Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2025-01-09 QUESTION AQO 1398/22-27: ""To ask the Minister of Education what measures will be included in the revised Integrated "" [activity, not direction]",
Mr Gerry Carroll (People Before Profit Alliance) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2026-06-19 QUESTION AQW 49107/22-27: ""To ask the Minister of Education to detail any plans he has to implement a strategy to imp"" [activity, not direction]",
Mr Matthew O'Toole (Social Democratic and Labour Party) - South Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2026-05-21 QUESTION AQO 3619/22-27: ""To ask the Minister of Education for an assessment of his Department’s Integrated Educatio"" [activity, not direction]",
Mr Phillip Brett (Democratic Unionist Party) - North Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2025-06-18 QUESTION AQW 28901/22-27: ""To ask the Minister of Justice, in light of the national inquiry into grooming gangs annou"" [activity, not direction]",
Ms Sinéad McLaughlin (Social Democratic and Labour Party) - Foyle,,,1,,,,no confirmed meaning line,n/a (activity only),1,,"2024-12-02 QUESTION AQW 19134/22-27: ""To ask the Minister of Education to detail his plans to improve the Relationships and Sexu"" [activity, not direction]",
Dr Caoimhe Archibald (Sinn Féin) - East Londonderry,,,1,,,,no evidence,,0,,No recorded activity on this area,
Dr Steve Aiken OBE (Ulster Unionist Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Miss Nicola Brogan (Sinn Féin) - West Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Miss Nuala McAllister (Alliance Party) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Miss Áine Murphy (Sinn Féin) - Fermanagh and South Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Miss Órlaithí Flynn (Sinn Féin) - West Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Alan Robinson (Democratic Unionist Party) - East Londonderry,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Andrew McMurray (Alliance Party) - South Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Andrew Muir (Alliance Party) - North Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Andy Allen MBE (Ulster Unionist Party) - East Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Brian Kingston (Democratic Unionist Party) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Cathal Boylan (Sinn Féin) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Colin McGrath (Social Democratic and Labour Party) - South Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Colm Gildernew (Sinn Féin) - Fermanagh and South Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Danny Baker (Sinn Féin) - West Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr David Brooks (Democratic Unionist Party) - East Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr David Honeyford (Alliance Party) - Lagan Valley,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Declan Kearney (Sinn Féin) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Declan McAleer (Sinn Féin) - West Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Doug Beattie MC (Independent) - Upper Bann,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Edwin Poots (Democratic Unionist Party) - South Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Eóin Tennyson (Alliance Party) - Upper Bann,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Gareth Wilson (Democratic Unionist Party) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Gerry Kelly (Sinn Féin) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Gordon Lyons (Democratic Unionist Party) - East Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Harry Harvey (Democratic Unionist Party) - Strangford,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr John Blair (Alliance Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr John O'Dowd (Sinn Féin) - Upper Bann,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr John Stewart (Ulster Unionist Party) - East Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Jonathan Buckley (Democratic Unionist Party) - Upper Bann,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Justin McNulty (Social Democratic and Labour Party) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Keith Buchanan (Democratic Unionist Party) - Mid Ulster,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Maolíosa McHugh (Sinn Féin) - West Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Mark Durkan (Social Democratic and Labour Party) - Foyle,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Maurice Bradley (Democratic Unionist Party) - East Londonderry,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Mike Nesbitt (Ulster Unionist Party) - Strangford,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Patsy McGlone (Social Democratic and Labour Party) - Mid Ulster,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Paul Frew (Democratic Unionist Party) - North Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Paul Givan (Democratic Unionist Party) - Lagan Valley,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Peter Martin (Democratic Unionist Party) - North Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Peter McReynolds (Alliance Party) - East Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Philip McGuigan (Sinn Féin) - North Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Pádraig Delargy (Sinn Féin) - Foyle,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Robbie Butler (Ulster Unionist Party) - Lagan Valley,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Stephen Dunne (Democratic Unionist Party) - North Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Stewart Dickson (Alliance Party) - East Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Tom Buchanan (Democratic Unionist Party) - West Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Trevor Clarke (Democratic Unionist Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Cathy Mason (Sinn Féin) - South Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Ciara Ferguson (Sinn Féin) - Foyle,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Deborah Erskine (Democratic Unionist Party) - Fermanagh and South Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Diane Dodds (Democratic Unionist Party) - Upper Bann,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Emma Little-Pengelly (Democratic Unionist Party) - Lagan Valley,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Julie Middleton (Democratic Unionist Party) - Foyle,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Linda Dillon (Sinn Féin) - Mid Ulster,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Naomi Long (Alliance Party) - East Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Pam Cameron (Democratic Unionist Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Sinéad Ennis (Sinn Féin) - South Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Aisling Reilly (Sinn Féin) - West Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Aoife Finnegan (Sinn Féin) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Carál Ní Chuilín (Sinn Féin) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Cheryl Brownlee (Democratic Unionist Party) - East Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Connie Egan (Alliance Party) - North Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Diana Armstrong (Ulster Unionist Party) - Fermanagh and South Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Diane Forsythe (Democratic Unionist Party) - South Down,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Emma Sheerin (Sinn Féin) - Mid Ulster,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Joanne Bunting (Democratic Unionist Party) - East Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Kate Nicholl (Alliance Party) - South Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Liz Kimmins (Sinn Féin) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Michelle O'Neill (Sinn Féin) - Mid Ulster,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Paula Bradshaw (Alliance Party) - South Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Sian Mulholland (Alliance Party) - North Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Totals - 90 decision-makers,0,0,90,0,0,,,,,,,
