Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Richard Fuller (Conservative, North Bedfordshire)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir Desmond Swayne (Conservative, New Forest West)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir Iain Duncan Smith (Conservative, Chingford and Woodford Green)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Andrew Griffith (Conservative, Arundel and South Downs)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Dr Caroline Johnson (Conservative, Sleaford and North Hykeham)",1,,,,,,"CONFLICTING SIGNALS - review all evidence | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted Aye: Abortion (Northern Ireland) Regulations 2021 [--: Voted to extend abortion regulations to Northern Ireland, against pro-life position.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Dr Kieran Mullan (Conservative, Bexhill and Battle)",1,,,,,,"CONFLICTING SIGNALS - review all evidence | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-24 VOTE: Voted Aye: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [-: Supported motion for abortion clinic buffer zones, restricting pro-life protest rights.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Gareth Bacon (Conservative, Orpington)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Matt Vickers (Conservative, Stockton West)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Mike Wood (Conservative, Kingswinford and South Staffordshire)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sammy Wilson (Democratic Unionist Party, East Antrim)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir John Hayes (Conservative, South Holland and The Deepings)",1,,,,,,"2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland.] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Stuart Anderson (Conservative, South Shropshire)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Andrew Rosindell (Reform UK, Romford)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Jim Allister (Traditional Unionist Voice, North Antrim)",1,,,,,,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic.] | 2026-04-27 EDM-SIGNED: Signed EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life.]"
"Mike Kane (Labour, Wythenshawe and Sale East)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Mr Mark Francois (Conservative, Rayleigh and Wickford)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Ms Marie Rimmer (Labour, St Helens South and Whiston)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir Christopher Chope (Conservative, Christchurch)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir Edward Leigh (Conservative, Gainsborough)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir Geoffrey Cox (Conservative, Torridge and Tavistock)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"Sir Roger Gale (Conservative, Herne Bay and Sandwich)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]"
"James McMurdock (Independent, South Basildon and East Thurrock)",1,,,,,,2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic.]
"Sir Julian Lewis (Conservative, New Forest East)",1,,,,,,2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland.]
"Tim Farron (Liberal Democrat, Westmorland and Lonsdale)",1,,,,,,"2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned.]"
"Gareth Davies (Conservative, Grantham and Bourne)",,1,,,,,2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics.]
"Jessica Toale (Labour, Bournemouth West)",,,1,,,,"2026-04-20 PQ: Retail Trade: Crimes of Violence (re: Crime and Policing) [0: Neutral crime impact assessment query, unrelated to abortion.] | 2026-04-20 PQ: Shoplifting (re: Crime and Policing) [0: Unrelated crime detection query, no bearing on abortion stance.] | 2026-03-02 PQ: Exploitation: Children (re: Crime and Policing) [0: Neutral impact assessment question, no clear directional stance.]"
"Mr Andrew Snowden (Conservative, Fylde)",,,1,,,,"2026-07-06 PQ: Begging and Vagrancy (re: Crime and Policing) [0: Unrelated topic, no clear stance on given area.] | 2026-06-03 PQ: Shoplifting: Technology (re: Crime and Policing) [0: Concerns shoplifting technology guidance, unrelated to CitizenGO issues.] | 2026-05-28 PQ: Crime: Children (re: Crime and Policing) [0: Procedural question on aligning child exploitation offence with modern slavery law.]"
"Samantha Niblett (Labour, South Derbyshire)",,,1,,,,2026-07-08 PQ: Artificial Intelligence: Children (re: Online Safety Act) [0: Neutral factual question about protecting children from AI chatbot harm.] | 2026-07-07 PQ: Artificial Intelligence: Children (re: Online Safety Act) [0: Neutral follow-up query on closing gaps in child protection measures.] | 2026-06-29 PQ: Abortion: Clinics [0: Neutral factual question on abortion clinic safety measures.]
"Mary Glindon (Labour, Newcastle upon Tyne East and Wallsend)",,,1,,,,"2026-06-23 PQ: Child Sexual Abuse Material: Artificial Intelligence (re: Crime and Policing) [0: Neutral enforcement question, unrelated to abortion stance.] | 2026-06-23 PQ: Child Sexual Abuse Material: Artificial Intelligence (re: Crime and Policing) [0: Neutral child protection question, unrelated to abortion stance.]"
"Adam Dance (Liberal Democrat, Yeovil)",,,1,,,,"2026-05-21 PQ: Shoplifting (re: Crime and Policing) [0: Procedural timeline query on shoplifting law, unrelated to core issues.]"
"Alex Brewer (Liberal Democrat, North East Hampshire)",,,1,,,,2026-04-20 PQ: Hate Crime: Women (re: transgender) [0: Neutral factual question on misogyny hate crime status.]
"Dan Norris (Independent, North East Somerset and Hanham)",,,1,,,,"2026-07-20 PQ: Respect Orders (re: Crime and Policing) [0: Procedural data question unrelated to abortion, no clear stance shown.]"
"Martin Wrigley (Liberal Democrat, Newton Abbot)",,,1,,,,"2026-04-27 PQ: Hate Crime: Women (re: Crime and Policing) [0: Unrelated to abortion, no directional relevance.]"
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Thompson (Labour, Erewash)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Baker (Labour, Aldershot)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Ballinger (Labour, Halesowen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Easton (Independent, North Down)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex McIntyre (Labour, Gloucester)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alistair Strathern (Labour, Hitchin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Martin (Labour, Portsmouth North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew George (Liberal Democrat, St Ives)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Ranger (Labour, Wrexham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ann Davies (Plaid Cymru, Caerfyrddin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Dixon (Labour, Shipley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Gelderd (Labour, South East Cornwall)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Sabine (Liberal Democrat, Frome and East Somerset)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Turley (Labour (Co-op), Redcar)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anneliese Midgley (Labour, Knowsley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Antonia Bance (Labour, Tipton and Wednesbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Aphra Brandreth (Conservative, Chester South and Eddisbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ashley Dalton (Labour, West Lancashire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ayoub Khan (Independent, Birmingham Perry Barr)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Baggy Shanker (Labour (Co-op), Derby South)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Becky Gittins (Labour, Clwyd East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ben Coleman (Labour, Chelsea and Fulham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ben Goldsborough (Labour, South Norfolk)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ben Maguire (Liberal Democrat, North Cornwall)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ben Obese-Jecty (Conservative, Huntingdon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Blair McDougall (Labour, East Renfrewshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Blake Stephenson (Conservative, Mid Bedfordshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Bobby Dean (Liberal Democrat, Carshalton and Wallington)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Bradley Thomas (Conservative, Bromsgrove)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Brendan O'Hara (Scottish National Party, Argyll, Bute and South Lochaber)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Brian Leishman (Labour, Alloa and Grangemouth)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Brian Mathew (Liberal Democrat, Melksham and Devizes)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Callum Anderson (Labour, Buckingham and Bletchley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Calum Miller (Liberal Democrat, Bicester and Woodstock)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Cameron Thomas (Independent, Tewkesbury)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Carla Denyer (Green Party, Bristol Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Caroline Voaden (Liberal Democrat, South Devon)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Cat Eccles (Labour, Stourbridge)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Catherine Atkinson (Labour, Derby North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Catherine Fookes (Labour, Monmouthshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Charlie Dewhirst (Conservative, Bridlington and The Wolds)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Charlie Maynard (Liberal Democrat, Witney)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Charlotte Cane (Liberal Democrat, Ely and East Cambridgeshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Bloore (Labour, Redditch)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Coghlan (Liberal Democrat, Dorking and Horley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Curtis (Labour, Milton Keynes North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Hazzard (Sinn Féin, South Down)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Hinchliff (Labour, North East Hertfordshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Chris Kane (Labour, Stirling and Strathallan)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
