Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Designation
Mr Maurice Bradley (Democratic Unionist Party) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Mike Nesbitt (Ulster Unionist Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Nick Mathison (Alliance Party) - Strangford,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Pat Sheehan (Sinn Féin) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Patsy McGlone (Social Democratic and Labour Party) - Mid Ulster,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Paul Frew (Democratic Unionist Party) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Paul Givan (Democratic Unionist Party) - Lagan Valley,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Peter McReynolds (Alliance Party) - East Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Philip McGuigan (Sinn Féin) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Pádraig Delargy (Sinn Féin) - Foyle,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mr Robbie Butler (Ulster Unionist Party) - Lagan Valley,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Stephen Dunne (Democratic Unionist Party) - North Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Stewart Dickson (Alliance Party) - East Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mr Timothy Gaston (Traditional Unionist Voice) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Tom Buchanan (Democratic Unionist Party) - West Tyrone,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mr Trevor Clarke (Democratic Unionist Party) - South Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mrs Cathy Mason (Sinn Féin) - South Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mrs Ciara Ferguson (Sinn Féin) - Foyle,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mrs Diane Dodds (Democratic Unionist Party) - Upper Bann,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mrs Emma Little-Pengelly (Democratic Unionist Party) - Lagan Valley,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mrs Julie Middleton (Democratic Unionist Party) - Foyle,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mrs Linda Dillon (Sinn Féin) - Mid Ulster,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Mrs Naomi Long (Alliance Party) - East Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Mrs Pam Cameron (Democratic Unionist Party) - South Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Mrs Sinéad Ennis (Sinn Féin) - South Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Ms Aisling Reilly (Sinn Féin) - West Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Ms Aoife Finnegan (Sinn Féin) - Newry and Armagh,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Ms Cheryl Brownlee (Democratic Unionist Party) - East Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Ms Claire Sugden (Independent) - East Londonderry,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Ms Connie Egan (Alliance Party) - North Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Ms Diane Forsythe (Democratic Unionist Party) - South Down,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Ms Emma Sheerin (Sinn Féin) - Mid Ulster,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Ms Joanne Bunting (Democratic Unionist Party) - East Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE NO: Justice Bill amendment 73 [no meaning line -- not placed],Unionist
Ms Kate Nicholl (Alliance Party) - South Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Ms Liz Kimmins (Sinn Féin) - Newry and Armagh,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Ms Michelle O'Neill (Sinn Féin) - Mid Ulster,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Ms Paula Bradshaw (Alliance Party) - South Belfast,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Ms Sian Mulholland (Alliance Party) - North Antrim,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Other
Ms Sinéad McLaughlin (Social Democratic and Labour Party) - Foyle,,,1,,,,no confirmed meaning line,n/a (activity only),1,,2026-06-09 VOTE AYE: Justice Bill amendment 73 [no meaning line -- not placed],Nationalist
Miss Jemma Dolan (Sinn Féin) - Fermanagh and South Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Cathal Boylan (Sinn Féin) - Newry and Armagh,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Edwin Poots (Democratic Unionist Party) - South Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr John Blair (Alliance Party) - South Antrim,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mr Phillip Brett (Democratic Unionist Party) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Mrs Deborah Erskine (Democratic Unionist Party) - Fermanagh and South Tyrone,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Carál Ní Chuilín (Sinn Féin) - North Belfast,,,1,,,,no evidence,,0,,No recorded activity on this area,
Ms Kellie Armstrong (Alliance Party) - Strangford,,,1,,,,no evidence,,0,,No recorded activity on this area,
Totals - 90 decision-makers,0,0,90,0,0,,,,,,,
