Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Neil Coyle (Labour, Bermondsey and Old Southwark)",,,1,,,,"2022-01-24 PQ: Surrogacy ""Surrogacy"" [unscored] | 2022-01-24 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what steps his Department is taking to ensure there is greater clarity and transparency on legitimate expenses paid for UK surrogacy, including (a) compensation paid to a surrogate and (b) a recupe"" [unscored] | 2022-01-24 PQ: Surrogacy ""Surrogacy"" [unscored] | 2022-01-24 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what steps his Department is taking to reform surrogacy law in response to the proposals set out in the Law Commission’s 2019 Consultation Paper Building families through surrogacy: a new law; and"" [unscored]"
"Daisy Cooper (Liberal Democrat, St Albans)",,,1,,,,"2025-03-04 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, pursuant to the Answer of 31 January to Question 25639 on Surrogacy, whether he plans to respond to the Law Commission’s report on surrogacy in this Parliament."" [unscored] | 2024-10-14 PQ: Surrogacy: Ukraine ""Surrogacy: Ukraine"" [unscored] | 2022-04-06 PQ: Visas: Ukraine (re: surrogate) ""To ask the Secretary of State for the Home Department, with reference to her Department's guidance on applying for Ukraine Family Scheme visas, if she will make it her policy to include surrogate mothers who are carrying the children of British nationals"" [unscored]"
"Kevin Hollinrake (Conservative, Thirsk and Malton)",,,1,,,,"2024-03-20 DEBATE: Spoke: Shared Parental Leave and Pay (Bereavement) Bill (re: surrogacy) ""It was necessary for the Government to move a motion in the House to issue an instruction to allow the Committee to consider amendments to the Bill that would otherwise be out of scope. The instruction was debated and approved in the House on 5 March. Let me..."" [0: Procedural note on extending bereavement leave scope to surrogacy arrangements, no stance on commercial surrogacy] | 2024-03-05 DEBATE: Spoke:  Shared Parental Leave and Pay (Bereavement) Bill: Instruction (re: surrogacy) ""What is more, the instruction would enable a Committee to consider amendments that would extend the measures to new parents who have their children through other routes, such as adoption or surrogacy arrangements. Where possible and appropriate, the..."" [unscored] | 2024-02-27 DEBATE: Spoke: Draft Paternity Leave  (Amendment) Regulations 2024 (re: surrogacy) ""Our third change will shorten the notice period required for each period of leave. The new regulations will require an employee to give only four weeks’ notice prior to each period of leave, instead of 14 weeks before the expected week of childbirth. This..."" [0: Discusses paternity leave flexibility, unrelated to surrogacy]"
"Mr Andrew Snowden (Conservative, Fylde)",,,1,,,,"2025-07-03 PQ: Health Services: Parents and Surrogacy ""Health Services: Parents and Surrogacy"" [unscored] | 2025-07-01 PQ: Surrogacy: Mental Health ""To ask the Secretary of State for Justice, with reference to the Law Commission report entitled Building families through surrogacy: a new law, published on 28 March 2023, if she will make an assessment of the potential impact of implementing the recommen"" [unscored] | 2025-07-01 PQ: Health: Surrogacy ""Health: Surrogacy"" [unscored]"
"Sarah Olney (Liberal Democrat, Richmond Park)",,,1,,,,"2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Remarkably, with the exception of amendments required to bring it into line with successive Human Fertilisation and Embryology Acts and to extend its provisions to Northern Ireland, the provisions that the Abortion Act brought into law have remained almost..."" [unscored] | 2023-11-14 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what assessment he has made of the implications for his policies of the report by the Law Commission entitled Building Families Through Surrogacy: A New Law, published on 29 March 2023; and whether"" [unscored] | 2023-07-03 PQ: Parental Pay: Self-employed (re: surrogacy) ""To ask the Secretary of State for Work and Pensions, if he will make it his policy to extend adoption pay to self-employed people who have a child via surrogacy."" [unscored]"
"Anna McMorrin (Labour, Cardiff North)",,,1,,,,"2020-01-30 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, if he will publish the Government's response to the Law Commission's consultation entitled Building families through surrogacy: a new law, which closed on 11 October 2019."" [0: Neutral request to publish government response on surrogacy consultation] | 2020-01-30 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether the Government plans to bring forward legislative proposals on surrogacy before the planned report on the issue by the Law Commission in 2021; and if he will make a statement."" [0: Neutral procedural question on surrogacy legislative timing]"
"Charlotte Nichols (Labour, Warrington North)",,,1,,,,"2025-12-22 PQ: IVF: Surrogacy ""IVF: Surrogacy"" [unscored] | 2021-10-18 PQ: Reproduction: LGBT+ People (re: Law Commission) [unscored]"
"Chris Elmore (Labour, Bridgend)",,,1,,,,"2024-04-26 DEBATE: Spoke:  Paternity Leave (Bereavement) Bill (re: surrogacy) ""Secondly, the Bill was amended to enable regulations to be made concerning the eligibility of adoptive and surrogacy parents for this entitlement. Once made, the regulations will allow the surviving parents of adopted children and of children born through..."" [unscored] | 2024-03-20 DEBATE: Spoke: Shared Parental Leave and Pay (Bereavement) Bill (re: surrogacy) ""Secondly, the entitlement establishes that the surviving partner of a parent who has opted to take adoption leave is in the scope of the entitlement. That allows the surviving parents of adopted children and of children born through surrogacy arrangements to..."" [0: Bereavement leave bill unrelated to surrogacy despite tag]"
"Fabian Hamilton (Labour, Leeds North East)",,,1,,,,"2025-09-08 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether his Department has made an assessment of the (a) ethical, (b) legal, and (c) safeguarding implications of UK residents entering commercial surrogacy arrangements overseas; and whether the G"" [unscored] | 2025-01-31 PQ: Surrogacy ""Surrogacy"" [unscored]"
"Frank McNally (Labour, Coatbridge and Bellshill)",,,1,,,,"2025-06-12 PQ: Surrogacy ""Surrogacy"" [unscored] | 2024-10-18 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, whether he plans to respond to the report by the Law Commission of England and Wales and the Scottish Law Commission entitled Building families through surrogacy: a new law, published on 28 March 2"" [unscored]"
"Harriet Cross (Conservative, Gordon and Buchan)",,,1,,,,"2025-03-10 PQ: Surrogacy: Regulation ""To ask the Secretary of State for Health and Social Care, what discussions his Department has had with the Human Fertilisation and Embryology Authority on the proposal for it to be designated as the regulator for surrogacy, as recommended in the Law Commi"" [unscored] | 2025-03-10 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, when the Government plans to publish its full response to the Law Commission’s report Building Families Through Surrogacy: A New Law, published in March 2023, following its interim response on 8 No"" [unscored]"
"Justin Madders (Labour, Ellesmere Port and Bromborough)",,,1,,,,"2025-02-11 DEBATE: Spoke: Terms and Conditions of Employment (re: surrogacy) ""To ensure that as many parents as possible are eligible, the definition of “parent” in the regulations encompasses adoptive parents, foster-to-adopt parents and intended parents in surrogacy arrangements. Those who meet this definition will also be required..."" [0: Discusses neonatal care employment regulations, not related to surrogacy policy] | 2024-04-26 DEBATE: Spoke:  Paternity Leave (Bereavement) Bill (re: surrogacy) ""As we know, at present the only right to statutory bereavement leave is for parents who have lost children up to the age of 18. Leave is a day one right, but the entitlement to pay is conditional on their having been in employment and earning a certain amount..."" [0: Concerns paternity leave for bereaved partner, not surrogacy substance]"
"Kate Osborne (Labour, Jarrow and Gateshead East)",,,1,,,,"2023-12-14 PQ: Genetics: Screening (re: Human Fertilisation and Embryology) [unscored] | 2023-10-24 DEBATE: Spoke: IVF Provision ""Ministers have failed to keep their promise to ban so-called conversion therapy in full, allowing the barbaric practice to continue. As for IVF for same-sex couples, we are still waiting for the Government to keep their promise to remove the discriminatory..."" [unscored]"
"Liz Saville Roberts (Plaid Cymru, Dwyfor Meirionnydd)",,,1,,,,"2022-07-13 PQ: Mothers: Self-employed (re: surrogacy) ""To ask the Minister for Women and Equalities, if she will take steps with Cabinet colleagues to improve support for self-employed mothers who have children through surrogacy arrangements."" [unscored] | 2021-09-08 PQ: Self-employed: Mothers (re: surrogacy) ""To ask the Secretary of State for Work and Pensions, what estimate she has made of the number of self-employed mothers who have had a child through a surrogacy arrangement who have not been eligible for either (a) Statutory Adoption Pay or (b) Maternity A"" [unscored]"
"Rosie Duffield (Independent, Canterbury)",,,1,,,,"2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [unscored] | 2025-03-27 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, if he will meet representatives of women and children's rights groups to discuss proposals announced by the Law Commission on 29 March 2023 in relation to surrogacy."" [unscored]"
"Sarah Coombes (Labour, West Bromwich)",,,1,,,,2024-12-31 PQ: IVF: LGBT+ People [unscored] | 2024-12-31 PQ: IVF [unscored]
"Bill Esterson (Labour, Sefton Central)",,,1,,,,"2020-06-02 PQ: British Nationals Abroad: Coronavirus (re: surrogacy) ""To ask the Secretary of State for Foreign and Commonwealth Affairs, what assessment he has made of the ability of UK citizens to travel abroad during the covid-19 outbreak in order to register the birth of surrogate babies and accompany them to the UK."" [0: Neutral covid travel query, not addressing surrogacy policy directly]"
"Blair McDougall (Labour, East Renfrewshire)",,,1,,,,"2024-10-28 PQ: Italy: Surrogacy ""Italy: Surrogacy"" [unscored]"
"Blake Stephenson (Conservative, Mid Bedfordshire)",,,1,,,,"2025-12-11 PQ: Department of Health and Social Care: Visas (re: Human Fertilisation and Embryology) ""To ask the Secretary of State for Health and Social Care, how many visas a) his Department, b) the Medicines and Healthcare Regulatory Agency, c) the UK Health Security Agency, d) the Care Quality Commission, e) the Human Fertilisation and Embryology Auth"" [unscored]"
"Caroline Nokes (Conservative, Romsey and Southampton North)",,,1,,,,"2021-02-11 DEBATE: Spoke:  Ministerial and other Maternity Allowances Bill (re: surrogacy) ""Although I regret that the legislation is coming only now, at least it is coming now. But does it go far enough? It is painfully evident that it does not. Where is adoption leave, and what about provision for shared parental leave? Can my right hon. Friend..."" [0: Debate concerns ministerial maternity leave, not commercial surrogacy issue]"
"Dan Tomlinson (Labour, Chipping Barnet)",,,1,,,,"2024-12-23 PQ: Visas: Colombia (re: surrogacy) ""To ask the Secretary of State for the Home Department, whether she has made an assessment of the potential impact of the new visa requirements for Colombian citizens on UK citizens who are intending to return to the UK with children born through surrogacy"" [unscored]"
"Edward Argar (Conservative, Melton and Syston)",,,1,,,,"2023-03-01 DEBATE: Spoke:  Work of the Law Commission ""However, thanks to the new arrangements that my right hon. and learned Friend put in place, the work on it current and 13th programme, launched in 2017, can continue at pace, including on projects such as smart contracts, electronic signatures, automated..."" [0: General thanks to Law Commission, no substantive stance on listed areas]"
"Emma Hardy (Labour, Kingston upon Hull West and Haltemprice)",,,1,,,,2020-09-23 PQ: IVF [unscored]
"Gregory Stafford (Conservative, Farnham and Bordon)",,,1,,,,"2025-03-07 PQ: Surrogacy: Regulation ""To ask the Secretary of State for Health and Social Care, whether he has considered making the Human Fertilisation and Embryology Authority a surrogacy regulator."" [unscored]"
"Jess Asato (Labour, Lowestoft)",,,1,,,,2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [unscored]
"Josh Newbury (Labour, Cannock Chase)",,,1,,,,"2025-05-19 DEBATE: Spoke: Gender Self-identification ""Let us begin by delivering on banning conversion practices in all their vile forms, equalising the punishment of all forms of hate crime, reviewing adult gender identity services and ensuring that all trans people receive appropriate and high-quality care,..."" [unscored]"
"Julia Lopez (Conservative, Hornchurch and Upminster)",,,1,,,,"2025-03-07 PQ: Surrogacy: Regulation ""Surrogacy: Regulation"" [unscored]"
"Kate Dearden (Labour (Co-op), Halifax)",,,1,,,,"2026-02-09 DEBATE: Spoke: Draft Bereaved Partner’s Paternity Leave Regulations 2026  Draft Employment

 Rights Act 1996 (Application of Section 80B to Adoptions from Overseas) (Amendment)  Regulations 2026  Draft Empl ""The Paternity Leave (Bereavement) Act 2024 established a new statutory entitlement to bereaved partner’s paternity leave of up to 52 weeks for employed fathers and partners if the mother or primary adopter dies in the first year of a child’s life or adoption...."" [unscored]"
"Lewis Atkinson (Labour, Sunderland Central)",,,1,,,,"2025-03-25 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-ninth sitting) ""Terminally Ill Adults (End of Life) Bill (Twenty-ninth sitting)"" [0: Procedural discussion of surrogacy advertising offence, no clear stance on assisted dying or surrogacy]"
"Lilian Greenwood (Labour, Nottingham South)",,,1,,,,"2023-11-09 DEBATE: Spoke:  Business of the House (re: surrogacy) ""I would welcome the Leader of the House’s advice on how to expedite a response from the Foreign, Commonwealth and Development Office for my constituents who are desperate to return home from Kyiv with their newborn son, who was born in September in Ukraine..."" [unscored]"
"Patricia Ferguson (Labour, Glasgow West)",,,1,,,,2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [unscored]
"Priti Patel (Conservative, Witham)",,,1,,,,"2022-03-10 DEBATE: Spoke:  Refugees from Ukraine ""The hon. Gentleman is absolutely right to raise the issue of surrogacy cases—a number of those cases have been raised with me. We are absolutely looking to make changes to this: there are various requirements we need to make in the UK with those particular..."" [0: Notes surrogacy cases needing policy review, no clear stance on commercial surrogacy]"
"Rachael Maskell (Labour (Co-op), York Central)",,,1,,,,2025-10-14 EDM-SIGNED: Signed EDM: UN Special Rapporteur Report on Violence Against Women and Girls in the context of surrogacy [unscored]
"Rebecca Paul (Conservative, Reigate)",,,1,,,,"2025-10-22 PQ: Crimes of Violence: Women (re: surrogacy) ""To ask the Secretary of State for Health and Social Care, what assessment he has made of the potential implications for his policies of the recommendations on surrogacy in the report by the UN Special Rapporteur for Violence Against Women and Girls entitl"" [unscored]"
"Richard Foord (Liberal Democrat, Honiton and Sidmouth)",,,1,,,,"2024-04-18 DEBATE: Spoke: Access to Redress Schemes (re: surrogacy) ""“I lost my career as an IT consultant, it made me infertile so I have been unable to have a family, and we had we had to stop IVF and surrogacy attempts because I became too ill to be a parent. I’ve had brain, body, psychological and emotional impacts from..."" [0: Discusses bank loan redress case, unrelated to surrogacy despite tagged area]"
"Sam Carling (Labour, North West Cambridgeshire)",,,1,,,,"2026-05-20 DEBATE: Spoke: Defence Readiness (re: Islamis) ""To name just a few regulators, we have the Medicines and Healthcare products Regulatory Agency looking at safety and efficacy; the National Institute for Health and Care Excellence examining cost-effectiveness; the Health and Safety Executive examining..."" [unscored]"
"Stephen Kinnock (Labour, Aberafan Maesteg)",,,1,,,,"2023-12-01 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what plans she has to implement the recommendations of the Law Commission's report Building families through surrogacy: a new law, HC1236, on (a) establishing a new pathway for surrogacy in which i"" [unscored]"
"Taiwo Owatemi (Labour, Coventry North West)",,,1,,,,"2022-12-08 PQ: Fertility: HIV/AIDS (re: Human Fertilisation and Embryology) ""To ask the Secretary of State for Health and Social Care, what assessment his Department of the potential merits of making changes to the Human Fertilisation and Embryology Act to allow greater access to fertility treatment for people with HIV."" [unscored]"
"Tulip Siddiq (Labour, Hampstead and Highgate)",,,1,,,,"2023-05-09 PQ: Surrogacy ""Surrogacy"" [unscored]"
"Wendy Chamberlain (Liberal Democrat, North East Fife)",,,1,,,,"2026-04-23 DEBATE: Spoke:  Business of the House (re: surrogacy) ""First, I am grateful to the Leader of the House for bringing my previous concerns about the management of visa cases in the Home Office to the Department’s attention. However, at the moment I have a very acute issue with immediate support needs. A constituent..."" [0: Purely a constituent casework request about surrogacy travel, no policy stance]"
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Dance (Liberal Democrat, Yeovil)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Thompson (Labour, Erewash)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Afzal Khan (Labour, Manchester Rusholme)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Mak (Conservative, Havant)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alberto Costa (Conservative, South Leicestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Baker (Labour, Aldershot)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Ballinger (Labour, Halesowen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Brewer (Liberal Democrat, North East Hampshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Burghart (Conservative, Brentwood and Ongar)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Davies-Jones (Labour, Pontypridd)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Easton (Independent, North Down)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex McIntyre (Labour, Gloucester)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Norris (Labour (Co-op), Nottingham North and Kimberley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Sobel (Labour (Co-op), Leeds Central and Headingley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alicia Kearns (Conservative, Rutland and Stamford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison McGovern (Labour, Birkenhead)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alistair Strathern (Labour, Hitchin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Martin (Labour, Portsmouth North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Bowie (Conservative, West Aberdeenshire and Kincardine)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew George (Liberal Democrat, St Ives)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Griffith (Conservative, Arundel and South Downs)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Ranger (Labour, Wrexham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Rosindell (Reform UK, Romford)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy McDonald (Labour, Middlesbrough and Thornaby East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy Slaughter (Labour, Hammersmith and Chiswick)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Angela Rayner (Labour, Ashton-under-Lyne)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Ann Davies (Plaid Cymru, Caerfyrddin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Dixon (Labour, Shipley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Anna Gelderd (Labour, South East Cornwall)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
