Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Actual vote,Evaluate
"David Smith (Labour, North Northumberland)",1,,,,,,"a motion signed, 6 weeks ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5218,"2026-07-14 EDM-SIGNED: Signed EDM: Amnesty International UK report on the anti-rights movement in the UK (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces]",,
"Kirsteen Sullivan (Labour (Co-op), Bathgate and Linlithgow)",1,,,,,,"a motion signed, 6 weeks ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5179,"2026-07-14 EDM-SIGNED: Signed EDM: Amnesty International UK report on the anti-rights movement in the UK (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces]",,
"Mims Davies (Conservative, East Grinstead and Uckfield)",1,,,,,,"a speech, 2 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4513,"2026-06-25 DEBATE: Spoke: Draft Conversion Practices Bill ""Draft Conversion Practices Bill"" [++: Questions need for new conversion practices law, warns against criminalising parents and families]",,
"Sir John Hayes (Conservative, South Holland and The Deepings)",1,,,,,,"a speech, 3 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-350,"2023-12-06 DEBATE: Spoke: Conversion Practices ""Conversion Practices"" [++: Opposes banning family, church or friend counsel for youths with gender dysphoria]",,
"Tracy Gilbert (Labour, Edinburgh North and Leith)",1,,,,,,"a motion signed, 6 weeks ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5188,"2026-07-14 EDM-SIGNED: Signed EDM: Amnesty International UK report on the anti-rights movement in the UK (re: conversion practices) [++: Defends gender-critical and parent groups, opposes broad conversion practice labelling, upholds sex-based spaces]",,
"Dr Kieran Mullan (Conservative, Bexhill and Battle)",,1,,,,,"a speech, 4 years ago","thin (speeches only, and few of them directional)",4,mp-votes.html#mp-4860,"CONFLICTING SIGNALS - review all evidence | 2022-12-02 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral question about support services, no clear directional framing] | 2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy ""Transgender Conversion Therapy"" [+: Distinguishes coercive conversion therapy from exploratory therapy, protecting legitimate therapeutic freedom] | 2021-11-16 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral inquiry into government's conversion therapy ban plans] | 2021-05-28 PQ: Conversion Therapy ""Conversion Therapy"" [-: Pushes government to legislate a conversion therapy ban, against CitizenGO's concerns]",,
"Danny Kruger (Reform UK, East Wiltshire)",,1,,,,,"a speech, 3 years ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4858,"2023-10-20 DEBATE: Spoke: Worker Protection (Amendment of Equality Act 2010) Bill (re: free speech) ""However, the law is a teacher in a bad way too. It can introduce negative effects into our culture and chill free speech. It can inhibit the sorts of conversation that are necessary for the development and progress of our society, which is a topic that will..."" [+: Warns against law chilling free speech and criminalising contested conversation] | 2022-03-30 DEBATE: Spoke: Conversion Therapy Ban ""Conversion Therapy Ban"" [+: Questions evidence for banning conversion therapy practices not already illegal, sceptical framing]",,
"Kit Malthouse (Conservative, North West Hampshire)",,1,,,,,"a speech, 4 years ago",thin (only 2 evidence items on record),2,mp-votes.html#mp-4495,"2022-05-11 DEBATE: Spoke: Preventing Crime and Delivering Justice (re: conversion therapy) ""I am interested in the hon. Gentleman’s view on this. Is he proposing there should be an absolute ban on conversion therapy, even if an adult consents? I understand the problem he raises about societal and group influence, but I am genuinely interested in how..."" [+: Raises freedom-of-association concerns about an absolute conversion therapy ban for consenting adults] | 2022-05-11 DEBATE: Spoke: Preventing Crime and Delivering Justice (re: Crime and Policing) ""The Online Safety Bill has been subject to a great deal of discussion in the House and elsewhere about how we should start to police the online world in the same way we police the offline world. No doubt there will be challenges along the way, but I am sure..."" [0: General Gracious Speech remarks on crime and justice, no clear stance on conversion therapy shown]",,
"Saqib Bhatti (Conservative, Meriden and Solihull East)",,1,,,,,"a question, 12 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4818,"2025-09-01 PQ: Transgender People: Conversion Therapy ""Transgender People: Conversion Therapy"" [+: Seeks joint committee scrutiny of conversion practices bill, favouring careful process]",,
"Sir Julian Lewis (Conservative, New Forest East)",,1,,,,,"a speech, 2 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-54,"2024-07-17 DEBATE: Spoke:  Debate on the Address (re: conversion therapy) ""On conversion therapy, I just leave a question hanging in the air. Anybody who votes for this change needs to be able to answer this point: what is it that you are proposing to outlaw that is not already forbidden under existing laws? The danger with..."" [+: Questions necessity of new conversion therapy law given existing laws]",,
"Victoria Atkins (Conservative, Louth and Horncastle)",,1,,,,,"a speech, 2 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4399,"2024-04-15 DEBATE: Spoke: Cass Review ""On conversion therapy—again, I am being very mindful of the sensitivities of this—we are committed to supporting all victims of conversion practices, but we want to avoid any unintended consequences and ensure that the draft Bill takes account of the..."" [+: Minister stresses caution and Cass Review consideration before conversion practices ban]",,
"Warinder Juss (Labour, Wolverhampton West)",,1,,,,,"a speech, 15 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5230,"2025-05-19 DEBATE: Spoke: Gender Self-identification ""In an intervention earlier, I mentioned the UK Supreme Court judgment in the case of For Women Scotland Ltd v. The Scottish Ministers. As a member of the Justice Committee, I have had the opportunity to inquire further into that decision. The decision..."" [+: Acknowledges Supreme Court ruling that sex-based protections mean biological sex under Equality Act]",,
"Afzal Khan (Labour, Manchester Rusholme)",,,1,,,,"a question, 4 years ago","thin (little on record, none of it directional)",4,mp-votes.html#mp-4671,"2022-06-20 PQ: Members: Correspondence (re: conversion therapy) ""To ask the Minister for Women and Equalities, when she plans to respond to the correspondence of 22 April 2022 from the hon. Member for Manchester, Gorton on conversion therapy."" [0: Procedural question about correspondence timing, no stance shown] | 2022-04-28 PQ: Conversion Therapy ""To ask the Minister for Women and Equalities, what data her Department holds on the number of lesbian, gay, bisexual, and transgender individuals who have undergone conversion therapy in (a) the UK, (b) Manchester and (c) Manchester Gorton constituency si"" [0: Neutral data request on conversion therapy prevalence] | 2020-07-02 PQ: Conversion Therapy ""Conversion Therapy"" [0: Procedural query on report timetable, no stance indicated] | 2020-06-22 PQ: Conversion Therapy ""Conversion Therapy"" [0: Factual follow-up on conversion therapy research timeline]",,
"Marsha De Cordova (Labour, Battersea)",,,1,,,,"a question, 5 years ago","thin (little on record, none of it directional)",2,mp-votes.html#mp-4676,"2021-09-22 PQ: Conversion Therapy ""Conversion Therapy"" [0: Seeks survivor support process information, neutral framing] | 2021-09-22 PQ: Conversion Therapy: Victim Support Schemes ""Conversion Therapy: Victim Support Schemes"" [0: Factual question on support service commissioning, no directional framing]",,
"Ms Abena Oppong-Asare (Labour, Erith and Thamesmead)",,,1,,,,"a question, 6 years ago","thin (little on record, none of it directional)",2,mp-votes.html#mp-4820,"2020-10-19 PQ: Conversion Therapy: Victim Support Schemes ""Conversion Therapy: Victim Support Schemes"" [0: Neutral inquiry into victim support, no directional framing on legislation] | 2020-10-19 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral information-seeking on non-legislative conversion therapy options]",,
"Vicky Foxcroft (Labour, Lewisham North)",,,1,,,,"a question, 4 years ago","thin (little on record, none of it directional)",2,mp-votes.html#mp-4491,"2022-11-03 PQ: Conversion Therapy ""To ask the Minister for Women and Equalities, what work has been undertaken by her Department on transgender conversion practices since the Government set out its plans on this topic in its background briefing to the Queen’s Speech in May 2022."" [0: Neutral factual query about government progress on ban plans] | 2022-11-03 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral information-seeking about international discussions, no stance shown]",,
"Chris Ward (Labour, Brighton Kemptown and Peacehaven)",,,1,,,,"a speech, 23 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5276,"2024-10-09 DEBATE: Spoke:  Renters’ Rights Bill (re: conversion therapy) ""I thank my predecessors. When Dennis Hobden won Brighton Kemptown for Labour in 1964, he did so by seven votes and became the first Labour MP in the whole of Sussex. I am pleased to report that there are now six Labour MPs across Sussex—we are so numerous..."" [0: Personal anecdote about constituency history, unrelated to conversion therapy topic]",,
"Darren Jones (Labour, Bristol North West)",,,1,,,,"a question, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4621,"2022-01-24 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral factual query on ban progress]",,
"Dr Beccy Cooper (Labour, Worthing West)",,,1,,,,"a question, 24 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5307,"2024-09-09 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral timetable enquiry, no advocacy shown]",,
"Jeff Smith (Labour, Manchester Withington)",,,1,,,,"a speech, 3 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4456,"2023-11-13 DEBATE: Spoke: Building an NHS Fit for the Future (re: conversion therapy) ""I will not test your patience, Madam Deputy Speaker, so in two lines I will mention two more Bills: the Media Bill—excellent. I am pleased that we are finally getting a Bill to protect public service broadcasting, but I am disappointed that a ban on..."" [0: Vague reference to unnamed ban, direction unclear from truncated text]",,
"Jessica Morden (Labour, Newport East)",,,1,,,,"a speech, 5 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-1548,"2021-07-01 DEBATE: Spoke:  Pride Month (re: Stonewall) ""As a Member for a Welsh constituency, I am really proud of the work that the Welsh Labour Government have undertaken to address inequalities. They have already taken action to push forward curriculum reform and to be the first nation to offer PrEP free on the..."" [0: General Pride Month tribute; no direct content on conversion therapy or single-sex spaces]",,
"Matt Western (Labour, Warwick and Leamington)",,,1,,,,"a speech, 4 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4617,"2026-05-13 DEBATE: Spoke: Debate on the Address (re: conversion therapy) ""More widely, on digital ID, I disagree with the hon. Member for Dewsbury and Batley (Iqbal Mohamed). We should seize this huge opportunity, as so many other nations have done, because of the advantages that digital ID is bringing. Ultimately, it has to be a..."" [0: Text discusses digital ID, not conversion therapy despite label]",,
"Pippa Heylings (Liberal Democrat, South Cambridgeshire)",,,1,,,,"a question, 17 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5078,"2025-03-20 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral factual question on government plans for ban]",,
"Sir Edward Leigh (Conservative, Gainsborough)",,,1,,,,"a speech, 4 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-345,"2022-05-18 DEBATE: Spoke: Achieving Economic Growth (re: conversion therapy) ""There is no point building more housing—and it is a crisis we need to address—or cutting taxes if, at the same time, immigration is out of control. The Government have to understand that we simply cannot replace mass immigration from the EU with mass..."" [0: Conversion therapy mentioned only dismissively as minor topic, no substantive stance]",,
"Sorcha Eastwood (Alliance, Lagan Valley)",,,1,,,,"a question, 15 months ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-5125,"2025-05-19 PQ: Conversion Therapy ""Conversion Therapy"" [0: Neutral progress inquiry without clear advocacy direction]",,
"Tulip Siddiq (Labour, Hampstead and Highgate)",,,1,,,,"a question, 6 years ago","thin (little on record, none of it directional)",1,mp-votes.html#mp-4518,"2020-09-30 PQ: Children: Conversion Therapy ""Children: Conversion Therapy"" [0: Neutral question on cross-departmental discussions, no clear stance shown]",,
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,no evidence,,0,mp-votes.html#mp-5142,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Dance (Liberal Democrat, Yeovil)",,,1,,,,no evidence,,0,mp-votes.html#mp-5191,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,no evidence,,0,mp-votes.html#mp-5168,No recorded activity on this area (ledger from 2026-02-03),,
"Adam Thompson (Labour, Erewash)",,,1,,,,no evidence,,0,mp-votes.html#mp-5044,No recorded activity on this area (ledger from 2026-02-03),,
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5320,No recorded activity on this area (ledger from 2026-02-03),,
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,no evidence,,0,mp-votes.html#mp-5235,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5185,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Mak (Conservative, Havant)",,,1,,,,no evidence,,0,mp-votes.html#mp-4484,No recorded activity on this area (ledger from 2026-02-03),,
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,no evidence,,0,mp-votes.html#mp-5080,No recorded activity on this area (ledger from 2026-02-03),,
"Alberto Costa (Conservative, South Leicestershire)",,,1,,,,no evidence,,0,mp-votes.html#mp-4439,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Baker (Labour, Aldershot)",,,1,,,,no evidence,,0,mp-votes.html#mp-5173,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Ballinger (Labour, Halesowen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5238,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Brewer (Liberal Democrat, North East Hampshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5263,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Burghart (Conservative, Brentwood and Ongar)",,,1,,,,no evidence,,0,mp-votes.html#mp-4613,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Davies-Jones (Labour, Pontypridd)",,,1,,,,no evidence,,0,mp-votes.html#mp-4849,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Easton (Independent, North Down)",,,1,,,,no evidence,,0,mp-votes.html#mp-5262,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,no evidence,,0,mp-votes.html#mp-5141,No recorded activity on this area (ledger from 2026-02-03),,
"Alex McIntyre (Labour, Gloucester)",,,1,,,,no evidence,,0,mp-votes.html#mp-5349,No recorded activity on this area (ledger from 2026-02-03),,
"Alex Sobel (Labour (Co-op), Leeds Central and Headingley)",,,1,,,,no evidence,,0,mp-votes.html#mp-4658,No recorded activity on this area (ledger from 2026-02-03),,
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5133,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,no evidence,,0,mp-votes.html#mp-5283,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,no evidence,,0,mp-votes.html#mp-5203,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,no evidence,,0,mp-votes.html#mp-5254,No recorded activity on this area (ledger from 2026-02-03),,
"Alison McGovern (Labour, Birkenhead)",,,1,,,,no evidence,,0,mp-votes.html#mp-4083,No recorded activity on this area (ledger from 2026-02-03),,
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,no evidence,,0,mp-votes.html#mp-5093,No recorded activity on this area (ledger from 2026-02-03),,
"Alistair Strathern (Labour, Hitchin)",,,1,,,,no evidence,,0,mp-votes.html#mp-5000,No recorded activity on this area (ledger from 2026-02-03),,
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5149,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Bowie (Conservative, West Aberdeenshire and Kincardine)",,,1,,,,no evidence,,0,mp-votes.html#mp-4601,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,no evidence,,0,mp-votes.html#mp-5195,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Griffith (Conservative, Arundel and South Downs)",,,1,,,,no evidence,,0,mp-votes.html#mp-4874,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-5061,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,no evidence,,0,mp-votes.html#mp-5243,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Ranger (Labour, Wrexham)",,,1,,,,no evidence,,0,mp-votes.html#mp-5046,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Rosindell (Reform UK, Romford)",,,1,,,,no evidence,,0,mp-votes.html#mp-1447,No recorded activity on this area (ledger from 2026-02-03),,
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,no evidence,,0,mp-votes.html#mp-4979,No recorded activity on this area (ledger from 2026-02-03),,
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,no evidence,,0,mp-votes.html#mp-1427,No recorded activity on this area (ledger from 2026-02-03),,
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,no evidence,,0,mp-votes.html#mp-5134,No recorded activity on this area (ledger from 2026-02-03),,
"Andy Slaughter (Labour, Hammersmith and Chiswick)",,,1,,,,no evidence,,0,mp-votes.html#mp-1516,No recorded activity on this area (ledger from 2026-02-03),,
"Angela Rayner (Labour, Ashton-under-Lyne)",,,1,,,,no evidence,,0,mp-votes.html#mp-4356,No recorded activity on this area (ledger from 2026-02-03),,
"Ann Davies (Plaid Cymru, Caerfyrddin)",,,1,,,,no evidence,,0,mp-votes.html#mp-5177,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Dixon (Labour, Shipley)",,,1,,,,no evidence,,0,mp-votes.html#mp-5281,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Gelderd (Labour, South East Cornwall)",,,1,,,,no evidence,,0,mp-votes.html#mp-5353,No recorded activity on this area (ledger from 2026-02-03),,
"Anna McMorrin (Labour, Cardiff North)",,,1,,,,no evidence,,0,mp-votes.html#mp-4632,No recorded activity on this area (ledger from 2026-02-03),,
"Anna Sabine (Liberal Democrat, Frome and East Somerset)",,,1,,,,no evidence,,0,mp-votes.html#mp-5286,No recorded activity on this area (ledger from 2026-02-03),,
