Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Zarah Sultana (Your Party, Coventry South)",,,1,,,,"2025-02-10 DEBATE: Spoke:  Border Security, Asylum and Immigration Bill [unscored] | 2020-06-22 PQ: Religious Freedom [unscored]"
"Alicia Kearns (Conservative, Rutland and Stamford)",,,1,,,,2021-03-08 DEBATE: Spoke:  LGBT Conversion Therapy [unscored]
"Anna Dixon (Labour, Shipley)",,,1,,,,2026-01-15 DEBATE: Spoke: End-of-life Ministry (re: assisted dying) [unscored]
"Anna McMorrin (Labour, Cardiff North)",,,1,,,,2021-08-18 DEBATE: Spoke:  Afghanistan (re: religious minorit) [unscored]
"Barry Gardiner (Labour, Brent West)",,,1,,,,2023-10-17 DEBATE: Spoke:  Safe Asylum Routes: Afghan Refugees [unscored]
"Blair McDougall (Labour, East Renfrewshire)",,,1,,,,2024-11-06 DEBATE: Spoke: Uyghur and Turkic Muslims: Forced Labour in China (re: religious freedom) [unscored]
"Brendan O'Hara (Scottish National Party, Argyll, Bute and South Lochaber)",,,1,,,,2023-12-07 DEBATE: Spoke: Universal Declaration of Human Rights and UN Convention on Genocide (re: freedom of religion or belief) [unscored]
"Charlotte Nichols (Labour, Warrington North)",,,1,,,,2021-03-08 DEBATE: Spoke:  LGBT Conversion Therapy [unscored]
"Chris Bryant (Labour, Rhondda and Ogmore)",,,1,,,,2025-01-22 DEBATE: Spoke: Listed Places of Worship Scheme [unscored]
"Chris Evans (Labour (Co-op), Caerphilly)",,,1,,,,2026-03-18 DEBATE: Spoke:  Freedom of Religion or Belief  in China [unscored]
"David Simmonds (Conservative, Ruislip, Northwood and Pinner)",,,1,,,,2025-12-10 PQ: Religious Freedom: Public Places [unscored]
"Dr Al Pinkerton (Liberal Democrat, Surrey Heath)",,,1,,,,"2026-06-11 DEBATE: Spoke: Freedom of Religion or Belief: Sudan [0: General humanitarian discussion of Sudan crisis, no direct FoRB or migration policy stance shown]"
"Dr Luke Evans (Conservative, Hinckley and Bosworth)",,,1,,,,2025-10-30 DEBATE: Spoke:  Ageing and End-of-life Care (re: palliative care) [unscored]
"Dr Rupa Huq (Labour, Ealing Central and Acton)",,,1,,,,2023-05-22 PQ: Nigeria: Oppression (re: freedom of religion or belief) [unscored]
"Fleur Anderson (Labour, Putney)",,,1,,,,2023-05-18 PQ: Nigeria: Religious Freedom [unscored]
"Gavin Robinson (Democratic Unionist Party, Belfast East)",,,1,,,,2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored]
"Graham Stringer (Labour, Blackley and Middleton South)",,,1,,,,2025-12-03 DEBATE: Spoke: Engagements (re: Islamophobia) [unscored]
"Imran Hussain (Labour, Bradford East)",,,1,,,,2023-11-28 PQ: Islamophobia [unscored]
"James McMurdock (Independent, South Basildon and East Thurrock)",,,1,,,,"2025-12-15 EDM-SIGNED: Signed EDM: Acquittal of Shaun O’Sullivan, free speech and religious freedom [unscored]"
"Jim Allister (Traditional Unionist Voice, North Antrim)",,,1,,,,"2025-12-15 EDM: Sponsored EDM: Acquittal of Shaun O’Sullivan, free speech and religious freedom (6 signatures) [unscored]"
"Jon Trickett (Labour, Normanton and Hemsworth)",,,1,,,,2023-03-07 DEBATE: Spoke: Public Order Bill (re: free speech) [unscored]
"Kerry McCarthy (Labour, Bristol East)",,,1,,,,2023-12-14 DEBATE: Spoke:  Persecution of Buddhists: Tibet (re: freedom of religion or belief) [unscored]
"Kit Malthouse (Conservative, North West Hampshire)",,,1,,,,2022-05-23 DEBATE: Spoke:  Public Order Bill (re: buffer zone) [unscored]
"Liz Twist (Labour, Blaydon and Consett)",,,1,,,,2023-12-07 DEBATE: Spoke: Tackling Islamophobia [unscored]
"Lucy Powell (Labour (Co-op), Manchester Central)",,,1,,,,"2024-12-12 DEBATE: Spoke:  Business of the House (re: home education) [0: Procedural business statement covering home education safeguarding and appointments, no clear stance]"
"Monica Harding (Liberal Democrat, Esher and Walton)",,,1,,,,2025-04-08 DEBATE: Spoke: Persecution of Christians [unscored]
"Mr James Frith (Labour, Bury North)",,,1,,,,"2025-03-05 DEBATE: Spoke: Jammu and Kashmir: Human Rights (re: free speech) [0: Advocacy on Kashmir human rights, unrelated to free speech or religious freedom positions]"
"Mr Tanmanjeet Singh Dhesi (Labour, Slough)",,,1,,,,2022-01-27 PQ: Nepal: Religious Freedom [unscored]
"Mrs Kemi Badenoch (Conservative, North West Essex)",,,1,,,,"2021-11-24 DEBATE: Spoke:  Islamophobia Awareness Month [0: General goodwill remarks on Muslim community, no clear stance on religious freedom policy]"
"Ms Nusrat Ghani (Conservative, Sussex Weald)",,,1,,,,2024-05-08 DEBATE: Spoke:  Countering Iran’s Hostile Activities (re: Higher Education (Freedom of Speech)) [0: Factual government response on Iran sanctions and Higher Education Freedom of Speech Act]
"Olivia Blake (Labour, Sheffield Hallam)",,,1,,,,2023-01-19 DEBATE: Spoke: Afghan Citizens Resettlement Scheme: Pathway 3 (re: religious minorit) [unscored]
"Paul Holmes (Conservative, Hamble Valley)",,,1,,,,"2026-03-09 DEBATE: Spoke:  Social Cohesion Action Plan (re: Equality Act 2010) [0: Critiques government transparency and extremism policy inconsistency, direction on tagged areas unclear]"
"Rachael Maskell (Labour (Co-op), York Central)",,,1,,,,2021-09-21 DEBATE: Spoke: LGBTQ+ Afghan Refugees [unscored]
"Rushanara Ali (Labour, Bethnal Green and Stepney)",,,1,,,,2020-11-12 DEBATE: Spoke: Refugee Communities: Covid-19 [unscored]
"Sam Rushworth (Labour, Bishop Auckland)",,,1,,,,2025-01-09 DEBATE: Spoke: Impact of Conflict on Women and Girls (re: freedom of religion or belief) [unscored]
"Sammy Wilson (Democratic Unionist Party, East Antrim)",,,1,,,,2025-09-03 PQ: India: Christianity (re: freedom of religion or belief) [unscored]
"Sarah Olney (Liberal Democrat, Richmond Park)",,,1,,,,2023-06-07 PQ: Nigeria: Christianity (re: freedom of religion or belief) [unscored]
"Sarah Pochin (Reform UK, Runcorn and Helsby)",,,1,,,,2026-01-15 PQ: Islamophobia [unscored]
"Shivani Raja (Conservative, Leicester East)",,,1,,,,2024-12-10 PQ: Bangladesh: Religious Freedom [unscored]
"Shockat Adam (Independent, Leicester South)",,,1,,,,"2025-12-18 DEBATE: Spoke: Christmas Adjournment (re: Islamophobia) [0: General condemnation of hatred and division, not a specific policy stance on FoRB or speech]"
"Sir Geoffrey Cox (Conservative, Torridge and Tavistock)",,,1,,,,2025-01-22 DEBATE: Spoke: Listed Places of Worship Scheme [unscored]
"Sir James Cleverly (Conservative, Braintree)",,,1,,,,2021-11-25 DEBATE: Spoke: Freedom of Religion or Belief: 40th Anniversary of UN Declaration [unscored]
"Sir Stephen Timms (Labour, East Ham)",,,1,,,,2022-03-10 PQ: India: Muslims (re: freedom of religion or belief) [unscored]
"Steve Reed (Labour (Co-op), Streatham and Croydon North)",,,1,,,,"2026-03-09 DEBATE: Spoke:  Social Cohesion Action Plan (re: home education) [0: Broad statement on social cohesion mixing themes, no clear directional stance across listed areas]"
"Tom Gordon (Liberal Democrat, Harrogate and Knaresborough)",,,1,,,,2025-05-15 DEBATE: Spoke: Accountability for Daesh Crimes (re: religious minorit) [unscored]
"Victoria Atkins (Conservative, Louth and Horncastle)",,,1,,,,"2021-09-13 DEBATE: Spoke: Afghanistan Policy (re: religious minorit) [0: Statement on Afghan evacuation and resettlement, unrelated to illegal migration control debate]"
"Wera Hobhouse (Liberal Democrat, Bath)",,,1,,,,2022-06-13 DEBATE: Spoke: Transgender Conversion Therapy [unscored]
"Abtisam Mohamed (Labour, Sheffield Central)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Dance (Liberal Democrat, Yeovil)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Jogee (Labour, Newcastle-under-Lyme)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adam Thompson (Labour, Erewash)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Adrian Ramsay (Green Party, Waveney Valley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Al Carns (Labour, Birmingham Selly Oak)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Gemmell (Labour, Central Ayrshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Mak (Conservative, Havant)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alan Strickland (Labour, Newton Aycliffe and Spennymoor)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alberto Costa (Conservative, South Leicestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Baker (Labour, Aldershot)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Ballinger (Labour, Halesowen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Brewer (Liberal Democrat, North East Hampshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Burghart (Conservative, Brentwood and Ongar)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Davies-Jones (Labour, Pontypridd)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Easton (Independent, North Down)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Mayer (Labour, Dunstable and Leighton Buzzard)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex McIntyre (Labour, Gloucester)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Norris (Labour (Co-op), Nottingham North and Kimberley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alex Sobel (Labour (Co-op), Leeds Central and Headingley)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alice Macdonald (Labour (Co-op), Norwich North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Bennett (Liberal Democrat, Mid Sussex)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Hume (Labour, Scarborough and Whitby)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison McGovern (Labour, Birkenhead)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alison Taylor (Labour, Paisley and Renfrewshire North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Alistair Strathern (Labour, Hitchin)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Hack (Labour, North West Leicestershire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Amanda Martin (Labour, Portsmouth North)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Bowie (Conservative, West Aberdeenshire and Kincardine)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Cooper (Labour, Mid Cheshire)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew George (Liberal Democrat, St Ives)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Griffith (Conservative, Arundel and South Downs)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Lewin (Labour, Welwyn Hatfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Pakes (Labour (Co-op), Peterborough)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Ranger (Labour, Wrexham)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andrew Western (Labour, Stretford and Urmston)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy Burnham (Labour (Co-op), Makerfield)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy MacNae (Labour, Rossendale and Darwen)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy McDonald (Labour, Middlesbrough and Thornaby East)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Andy Slaughter (Labour, Hammersmith and Chiswick)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
"Angela Rayner (Labour, Ashton-under-Lyne)",,,1,,,,No recorded activity on this area (ledger from 2026-02-03)
