# Looker export: gbq_2_0_reports / aa_downstream_report
# Pulled 2026-08-20 via the Looker MCP. There is no Looker credential in this
# repo, so a scheduled tool CANNOT refresh this -- it is exported by hand, the
# same shape as tools/log_campaign_performance.py parsing Max's Slack replies.
# Refresh procedure and the query filters are in docs/campaign-benchmarks.md.
#
# Filters: program starts EN_GB, series_email_number <= 20,
#          start_date after 2024/01/01, total_signatures >= 100.
#
# THIS IS THE WHOLE POPULATION, not a top-N slice. total_signatures is a
# MEASURE, so it cannot go in filter_expression (Looker 400s: "cannot
# reference aggregate field") -- it filters as a HAVING via the filters map,
# e.g. "9000 to 20036". Pulled in four bands to stay inside the row cap:
#   >= 20037 ....... 60 rows
#   9000-20036 ..... 33
#   3000-8999 ....... 4
#   100-2999 ........ 7
#   total .......... 104
# The bands are contiguous and the population is exhausted; a wider limit
# returns nothing further. The mid-range is genuinely near-empty -- only 4
# EN_GB campaigns since 2024 landed between 3,000 and 9,000 signatures.
#
# The 7 rows under 3,000 are NOT weak campaigns, they are a different
# population: response rates of 0.02%-0.78% against 2.1%-8.4% for every row
# above. They include one explicit "TEST-" program and one list-segment split
# (INB_12th_Meeting-Yahoo, 323 signatures, same petition id 14242 as its
# parent's 22,697). They are KEPT here -- the store is the archive -- and
# excluded at display by MIN_LOOKER_SIGNATURES in tools/make_briefs.py.
#
# Excluded by the >= 100 filter and therefore absent: warm-up and test
# programs under a DIFFERENT naming format (underscore dates, "TEST_WARM_UP",
# "Warmup", "L1"), all of which carry zero signatures.
#
# money is EUR. otd = one-time donations, md = monthly donations.
program	bound	looker_topic	start_date	signatures	new_members	otd_eur	md_eur	sent_emails
EN_GB-2024-07-26-Local-NA-CJO-13617-CofE-Flourishing_for_All	Local		2024-09-02	28677	732	1427.05	32.79	532250
EN_GB-2024-04-20-Global-OT-CJO-NA-Pandemic_Treaty_6-Pandemic_Treaty_6	Global	Other	2024-05-06	28593	2663	2464.56	55.27	914478
EN_GB-2025-07-29-Local-NA-CJO-16080-Repeal_the_Online_Safety_Act	Local		2025-07-31	28506	933	1550.30	25.36	721153
EN_GB-2025-07-03-Local-NA-CJO-15857-Surrey_Pride	Local		2025-07-08	28436	634	1845.61	17.52	725963
EN_GB-2025-04-03-Local-NA-CJO-15123-No_to_Assisted_Suicide_Phase2	Local		2025-04-03	28123	1114	2812.10	27.98	855499
EN_GB-2024-07-15-Local-NA-CJO-13542-Labours_conversion_therapy_ban	Local		2024-07-18	28096	852	1540.25	0	558283
EN_GB-2026-02-02-Local-NA-CJO-17505-assisted_suicide_Parliament_Act	Local		2026-02-02	26947	385	40.33	0	546932
EN_GB-2025-08-04-Global-FR-CJO-16072-Defund_the_UN	Global	Freedom	2025-08-04	26908	604	1323.86	51.95	738649
EN_GB-2024-12-06-Local-FM-ZRE-14477-_BBC_stop_pushing_the_LGBTunde	Local	Family and Education	2024-12-11	26248	924	1199.37	54.31	369571
EN_GB-2026-01-25-Global-FM-CJO-17400-Transgender_Dissent	Global	Family and Education	2026-01-25	26242	255	34.57	8.09	698349
EN_GB-2025-05-05-Global-FR-CJO-15415-Pandemic_Final_Stretch	Global	Freedom	2025-05-05	26106	2587	1552.51	22.04	545942
EN_GB-2026-02-18-Local-NA-CJO-17614-Schools_Gender_Guidance	Local		2026-02-19	25801	1248	0	8.07	792117
EN_GB-2024-04-01-Global-RF-CJO-12819-UN-Crimes_Against_Humanity	Global	Freedom	2024-04-01	25591	253	2073.09	222.02	1097943
EN_GB-2025-08-18-Global-FR-CJO-NA-Fundraising-Stay_Out	Global	Freedom	2025-09-29	24897	1009	1614.43	77.30	778121
EN_GB-2024-01-11-Local-NA-CJO-212700-Transgender_guidance_for_schoo	Local		2024-01-29	24557	225	1282.52	39.73	1248988
EN_GB-2024-06-11-Global-FM-CJO-13320-Parenthood_Recognition_EU-Parenthood_Recognition_EU	Global	Family and Education	2024-06-11	24318	824	1604.44	8.20	622468
EN_GB-2024-05-26-Local-NA-CJO-13159-stop_divisive_lgbt_flag_displays	Local		2024-05-26	23918	880	1108.70	96.10	480418
EN_GB-2025-06-28-Local-NA-CJO-15791-Stop_divisive_Pride_Progress_Flags	Local		2025-06-28	23603	591	735.73	21.95	536136
EN_GB-2025-05-02-Local-NA-CJO-15395-Cody_Gakpo	Local		2025-05-02	23241	1532	1737.05	5.87	525101
EN_GB-2024-11-01-Global-FR-CJO-14242-INB_12th_Meeting-INB_12th_Meeting	Global	Freedom	2024-11-03	22697	1343	1651.25	2.34	638592
EN_GB-2025-03-28-Local-FR-THU-NA-Free_Speech_Free_Conversations	Local	Freedom	2025-04-02	22538	158	1723.89	31.31	494676
EN_GB-2026-02-04-Local-NA-CJO-17533-Darlington_nurses_policy_push	Local		2026-02-04	22409	102	69.14	8.09	553722
EN_GB-2025-08-06-Local-NA-CJO-16145-Stand_in_solidarity_with_Simon	Local		2025-08-06	22307	679	2011.42	76.19	542292
EN_GB-2025-09-03-Local-NA-CJO-16370-Stand_with_Linehan	Local		2025-09-03	21696	613	888.02	56.51	488240
EN_GB-2025-04-21-Global-FM-CJO-15288-Disney_Dying_for_Sex	Global	Family and Education	2025-04-21	21532	360	764.24	25.63	358869
EN_GB-2025-11-19-Local-NA-ZRE-17075-No_to_abortion_up_to_Birth_in_	Local		2025-12-01	21168	669	1332.10	63.51	460383
EN_GB-2025-10-03-Global-FM-CJO-16640-Stop_Netflix_LGBT_Indoctrination	Global	Family and Education	2025-10-03	20792	562	545.06	25.40	577460
EN_GB-2024-03-20-Local-NA-CJO-12743-Defund_Stonewall	Local		2024-03-27	20541	177	738.98	7.01	628663
EN_GB-2026-02-12-Local-NA-ZRE-17624-Grooming_Gangs_Stop_the_cover_	Local		2026-02-18	20243	457	0	8.09	546379
EN_GB-2025-09-01-Global-FR-CJO-16300-Agenda_2030-Summit_for_Development	Global	Freedom	2025-09-01	20037	567	1771.15	32.28	746495
EN_GB-2025-02-06-Local-FR-CJO-14780-Pandemic_Treaty13th	Local	Freedom	2025-02-06	20017	706	2049.15	8.30	738312
EN_GB-2025-11-07-Local-NA-CJO-16730-One_Marriage_Law_UK	Local		2025-11-07	19045	243	406.78	16.17	344847
EN_GB-2025-10-20-Global-FR-CJO-16607-Support-Paivi-Supreme-Court	Global	Freedom	2025-10-20	18516	471	1524.54	17.30	437069
EN_GB-2026-01-19-Local-NA-CJO-17385-Eva_Vlaardingerbroek_Censored	Local		2026-01-19	18173	98	388.34	8.09	410004
EN_GB-2024-12-16-Local-NA-CJO-14538-Scouting_Without_Ideology	Local		2024-12-19	18028	263	580.07	0	533900
EN_GB-2025-06-09-Local-NA-CJO-15666-Ban_Bonnies_Public_Pornography	Local		2025-06-09	17941	1608	917.27	0	192845
EN_GB-2024-10-03-Global-OT-CJO-14042-UN_Colonialism_Pact-UN_Colonialism_Pact	Global	Other	2024-10-09	17265	212	1988.98	46.25	460466
EN_GB-2025-11-03-Local-NA-CJO-16798-Truth_in_Death	Local		2025-11-11	16499	149	364.14	11.55	443234
EN_GB-2024-02-15-Global-FM-CJO-NA-CSW68-CSW68	Global	Family and Education	2024-03-11	16434	34	836.04	0	1005048
EN_GB-2025-11-03-Global-FR-CJO-16851-Summit_for_Development_2	Global	Freedom	2025-11-03	16191	354	985.25	31.18	440680
EN_GB-2025-08-29-Local-NA-CJO-16210-Support_Isabel_Vaughan-Spruce	Local		2025-08-29	15897	508	1385.76	31.16	564789
EN_GB-2024-09-12-Local-NA-CJO-13960-Stop_Sexualised_Ads	Local		2024-09-14	15632	188	354.69	0	241147
EN_GB-2024-04-09-Local-NA-CJO-12886-Guide_with_Pride__Withdraw_the	Local		2024-04-10	15570	163	278.42	15.28	445871
EN_GB-2025-01-13-Local-NA-CJO-14540-Stop_pills_by_post	Local		2025-01-13	15392	52	605.23	0	725308
EN_GB-2024-11-25-Local-LF-CJO-14405-sarco_suicide_pods	Local	Life	2024-11-25	15086	446	635.87	0	304385
EN_GB-2025-01-13-Global-FR-ZRE-NA-Trump_Reject_Pandemic_Treaty-Trump_Reject_Pandemic_Treaty	Global	Freedom	2025-01-13	14849	183	421.37	0	639663
EN_GB-2024-05-17-Local-NA-CJO-13127-New_RSHE_guidance_for_schools_	Local		2024-05-22	14681	284	986.00	20.01	383869
EN_GB-2024-22-11-Local-FAM-ZRE-14402-Children_in_Need_Funding	Local		2024-11-23	14583	259	319.10	0	393005
EN_GB-2025-09-03-Local-NA-CJO-16360-Join_the_pro_life_fightback	Local		2025-09-06	14118	642	1931.32	19.61	472935
EN_GB-2025-02-03-Local-NA-ZRE-14807-Extend_child_puberty_blocker_b	Local		2025-02-10	13652	62	56.94	0	372487
EN_GB-2025-03-25-Local-NA-CJO-15042-Billboard_Chris	Local		2025-03-25	13396	88	705.83	0	457807
EN_GB-2024-12-04-Local-NA-CJO-14456-Stand_with_Marc_Guehi	Local		2024-12-04	12748	266	348.75	0	302599
EN_GB-2025-01-30-Local-NA-CJO-14715-no_scrutiny_no_safeguards_assisted_suicide_bill	Local		2025-01-30	12345	265	1072.02	38.51	363859
EN_GB-2025-05-30-Local-NA-CJO-15583-Mexico_Surrogacy	Local		2025-05-30	12043	171	515.61	28.91	393078
EN_GB-2024-01-02-Local-NA-CJO-212701-Exposing_Stella_Creasys_danger	Local		2024-01-15	11242	426	2064.97	50.64	1283284
EN_GB-2025-04-25-Local-NA-CJO-15317-UK_Local_Elections_Open_Letter	Local		2025-04-25	10793	97	581.19	8.22	369165
EN_GB-2026-02-12-Local-NA-CJO-17586-NI_Puberty_Blocker_Trial	Local		2026-02-12	10793	296	11.52	0	266506
EN_GB-2024-10-29-Local-NA-CJO-14240-PDC__Protect_Darts_Competition	Local		2024-11-04	10608	383	145.91	3.51	403429
EN_GB-2025-01-02-Global-FR-CJO-14565-Christians_in_Syria-Christians_in_Syria	Global	Freedom	2025-01-02	10568	235	1724.61	43.28	348520
EN_GB-2024-12-09-Local-NA-TMA-14510-EN_GB___Stand_for_Stornoway_Sa	Local		2024-12-15	10182	72	453.14	32.74	375647
EN_GB-2025-10-15-Local-NA-CJO-16729-What_Are_They_Hiding_Puberty_Blockers_Case	Local		2025-11-17	9840	134	397.56	0	218777
EN_GB-2025-02-17-Local-NA-CJO--2025-Support_James_and_Keira	Local		2025-03-18	9688	9	0	0	200796
EN_GB-2025-01-06-Local-OT-TMC-14548-Save_our_Statues	Local	Other	2025-01-06	9119	133	252.67	3.57	384249
EN_GB-2025-09-11-Local-NA-CJO-16443-I_am_Charlie_Kirk	Local		2025-09-12	7240	381	397.56	31.14	187712
EN_GB-2026-03-02-Local-NA-CJO-17503-Stop_the_Social_Media_Ban	Local		2026-03-02	6344	28	34.57	0	272660
EN_GB-2024-11-19-Local-NA-CJO-14334-assisted_suicide_bridget_phillipson	Local		2024-11-19	4107	61	217.08	8.19	106034
EN_GB-2024-11-19-Local-NA-CJO-14337-assisted_suicide_clive_lewis	Local		2024-11-19	3627	39	138.79	0	113228
EN_GB-2025-04-17-Local-NA-CJO-15233-UK_Local_Elections	Local		2025-04-17	876	2	41.87	5.82	186388
EN_GB-2024-02-12-Local-NA-CJO-212999-Virgin-Island-Scrap-Show	Local		2024-02-14	870	3	721.14	16.24	872024
EN_GB-2025-04-17-Local-NA-CJO-15234-UK_By-Election_Runcorn_and_Helsby	Local		2025-04-17	596	1	59.82	0	108512
EN_GB-2024-02-12-Global-OT-CJO-212385-WHO_Pandemic_Treaty_5-WHO_Pandemic_Treaty_5	Global	Other	2024-02-12	391	33	2078.08	45.35	883063
EN_GB-2024-11-01-Global-FR-CJO-14242-INB_12th_Meeting-Yahoo	Global	Freedom	2024-11-27	323	8	17.79	0	41560
EN_GB-2024-01-15-Global-OT-CJO-212648-TEST-Stop_UN_Thought_Police	Global	Other	2024-01-15	176	4	1154.49	30.38	841574
EN_GB-2024-02-05-International-FM-CJO-212923-Trans_Guidelines	International	Family and Education	2024-02-05	139	3	1012.76	0	676847
