FIVE COLUMNS ANALYSIS (ONLY IF APPROPRIATE)
PLAN STAGE,,,,,,,,,EVALUATE STAGE,
Decision-Maker,# Seats,"""++""","""+""","""0""","""-""","""--""",Target (Y/N),Comments,Vote (Y/N),Comments
"Angela Rayner, Housing Secretary (Labour, Ashton-under-Lyne)",,1,0,0,0,0,Y,"SENIOR ALLY ON THE MINISTERIAL GROUP. Voted No 2R 2024, No 3R 2025, No 2R 11 Sep 2026. The PM's 29 Jul announcement named the Housing Secretary on the new social care ministerial group alongside the Chancellor. The most senior Cabinet member on our side of the vote with a seat at the care table. Placed ++; ask her to press inside the group for Test 1.",,
"Wes Streeting, Defence Secretary (Labour, Ilford North)",,1,0,0,0,0,N,"Voted No 2R 2024, No 3R 2025, No 2R 11 Sep 2026 (backed safeguard amendments in 2025). As Health Secretary delivered the £100m hospice capital and £26m children's hospice revenue (Dec 2024) and said publicly he would vote no because palliative care was not good enough. Now outside the money chain but the most quotable Cabinet voice for our framing. Placed ++.",,
"Shabana Mahmood, Home Secretary (Labour, Birmingham Ladywood)",,0,1,0,0,0,N,"Voted No at all three readings; backed safeguard amendments Jun 2025. Cabinet ally, not on the care group, no palliative record. Placed + .",,
"Bridget Phillipson, Minister for Women and Equalities (Labour, Houghton and Sunderland South)",,0,1,0,0,0,N,"Voted No 2R 2024, No 3R 2025, No 2R 11 Sep 2026; spoke on assisted dying at Topical Questions 9 Sep 2026 (neutral). Cabinet ally; was a named target of our Nov 2024 petition (14334, 4,288 sigs). Placed + .",,
"Louise Haigh, First Secretary of State (Labour, Sheffield Heeley)",,0,0,0,1,0,N,Voted Aye 2R 2024 and Aye 3R 2025; not recorded 11 Sep 2026. Runs the Cabinet Office; no care record. Placed - .,,
"Sir Alan Campbell, Leader of the House of Commons (Labour, Tynemouth)",,0,0,0,1,0,N,"Voted Aye at all three readings. Controls Commons time; relevant to the guardrail (any returning Bill needs time he allocates), not to the care ask. Placed - .",,
"Anneliese Midgley, Government Chief Whip (Labour, Knowsley)",,0,1,0,0,0,N,Voted No at all three readings. Sits in Cabinet as Chief Whip; an ally in the whips' office when the Budget resolutions are whipped. Placed + .,,
"Stephen Kinnock, Welsh Secretary (Labour, Aberafan Maesteg)",,0,0,1,0,0,N,"CONFLICTING SIGNALS. Voted Aye at all three readings and against safeguard amendments in 2025, but as Minister for Care told the Health and Social Care Committee of a further £25m hospice capital on top of the £100m. Delivered hospice money while backing the Bill. Placed 0.",,
"Sir Stephen Timms, Minister of State for Social Security and Disability (Labour, East Ham)",,0,1,0,0,0,N,"Voted No at all three readings. Portfolio spans DWP and HCLG; disability groups (Not Dead Yet UK, BuDS) welcomed the PM's care-first line. Placed + .",,
"Florence Eshalomi, Minister of State, Housing, Communities and Local Government (Labour (Co-op), Vauxhall and Camberwell Green)",,0,1,0,0,0,N,Voted No 3R 2025 and No 2R 11 Sep 2026. Local government funds adult social care; an ally in the department that will carry Test 3. Placed + .,,
"Jim McMahon, Parliamentary Under-Secretary, Housing, Communities and Local Government (Labour (Co-op), Oldham West, Chadderton and Royton)",,0,1,0,0,0,N,Voted No at all three readings. Local government portfolio; ally. Placed + .,,
"James Murray, Financial Secretary to the Treasury (Labour, Ealing North)",,0,0,0,1,0,N,"Voted Aye at all three readings. Health Secretary 14 May–20 Jul 2026, so briefly held the hospice file; now Treasury. No care record. Placed - .",,
"Lucy Rigby, Economic Secretary to the Treasury (Labour, Northampton North)",,0,0,0,1,0,N,Voted Aye at all three readings; against safeguard amendments Jun 2025. Treasury; no care record. Placed - .,,
"Dan Tomlinson, Exchequer Secretary to the Treasury (Labour, Chipping Barnet)",,0,1,0,0,0,N,"Voted No 2R 2024, No 3R 2025, No 2R 11 Sep 2026; backed safeguard amendments Jun 2025. The one Treasury minister on our side of the vote. Placed + ; a quiet route into the Budget process.",,
"Torsten Bell, Minister of State for Pensions (Treasury and DWP) (Labour, Swansea West)",,0,0,0,1,0,N,Voted Aye at all three readings; against safeguard amendments Jun 2025. Treasury; no care record. Placed - .,,
"Pat McFadden, Work and Pensions Secretary (Labour, Wolverhampton South East)",,0,0,0,1,0,N,"Voted Aye 2R 2024, Aye 3R 2025, Aye 2R 11 Sep 2026. Cabinet; carers' benefits sit with him but no care record. Placed - .",,
"Alex Norris, Lord Chancellor and Justice Secretary (Labour (Co-op), Nottingham North and Kimberley)",,0,0,0,1,0,N,Voted Aye at all three readings. MoJ would own the machinery of any future Bill; not a care decision-maker. Placed - ; listed for the guardrail.,,
Totals - 26 decision-makers,,2,9,3,12,0,7 targets,"Columns measure willingness to act on funded palliative and social care now, not the assisted suicide gradient. Nobody at -- until someone argues against hospice money. Vote records: divisions 2024-11-29 (2R), 2025-06-20 (3R), 2026-09-11 (2R, 270–286). Roles: LabourList full list of the Burnham government, Jul 2026.",,

"ALL OTHER MPs: the Commons roster placed on the assisted dying record (++ voted No on 11 Sept and before; -- voted Aye). A proxy for who will press the Government for care; none are campaign targets unless marked. Sorted by column, then party.",,,,,,,,Regenerate with python3 tools/make_5ca.py 2 after the next vote.,,
"Sorcha Eastwood (Alliance, Lagan Valley)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-01-13 DEBATE: Spoke: Hospice and Palliative Care ""I thank the hon. Member for Wimbledon (Mr Kohler) for bringing this matter to the House. I also pay tribute to the hon. Member for Spen Valley (Kim Leadbeater) for how she has conducted the debate on assisted dying, which we have all talked about so much and..."" [0: Focuses on palliative care funding, no explicit stance on assisted dying itself] | 2024-11-29 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Opposes assisted dying bill, cites poor palliative care and affirms life] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Alan Mak (Conservative, Havant)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Alberto Costa (Conservative, South Leicestershire)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Alex Burghart (Conservative, Brentwood and Ongar)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Alison Griffiths (Conservative, Bognor Regis and Littlehampton)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Andrew Bowie (Conservative, West Aberdeenshire and Kincardine)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2026-02-10 DEBATE: Spoke: Draft Scotland Act 1998  (Modification of Schedule 5)  Order 2026 (re: assisted dying) ""As you said, Mr Twigg, this is not a debate about the merits of the assisted dying Bill being considered by colleagues in the Scottish Parliament, nor indeed of the Bill going through its stages in the other place here in the Palace of Westminster. There will..."" [0: Procedural note declining to address assisted dying bill's merits] | 2026-02-10 DEBATE: Spoke: Draft Scotland Act 1998  (Modification of Schedule 5)  Order 2026 (re: assisted dying) ""Moreover, the limited approach does not resolve remaining inconsistencies that we would face should the Scottish Parliament’s assisted dying Bill pass—for example, the regulation of medical professions, and employment and industrial relations. There are..."" [+: Highlights practical inconsistencies and problems with Scottish assisted dying legislation] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Andrew Griffith (Conservative, Arundel and South Downs)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Ben Obese-Jecty (Conservative, Huntingdon)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
