Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Tell Parliament: Ban the Dolls That Train Predators to See Our Children as Objects (DRAFT),cjoyce@citizengo.net,2026-09-21,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor. Subject: Child-like Sexual Abuse Dolls (Offences) Bill,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Why is it urgent that we take action now?,"The Bill sits at Committee stage in the Commons right now, with no confirmed date for its next step. That uncertainty is itself the danger: bills without a fixed timetable can drift for months, losing momentum while the objects they would ban remain perfectly legal to own.

Once a Bill like this stalls in Committee, it becomes far harder to revive. Parliamentary time is scarce, and a Bill that loses its place in the queue can wait indefinitely for a slot that never comes, even with cross-party goodwill behind it.

This is the test of whether Parliament's stated commitment to child protection is more than words. A sponsor has brought this Bill forward in good faith, and MPs across parties have engaged with it through debate and question time. Now is the moment that commitment is proven or quietly abandoned.

If supporters go quiet now, that silence will be read in Westminster as a lack of public concern, and a Bill this important will slip down the list of priorities. It must not be allowed to."
Describe a bad outcome if we do not win this campaign:,"If Parliament allows this Bill to stall in Committee, dolls built to simulate the sexual abuse of a child remain entirely legal to manufacture, import and possess in this country. Predators keep a tool that normalises the very harm our laws exist to prevent, and every family is left less protected than they were promised."
Describe a good outcome if we do win this campaign:,"Parliament completes Committee stage without delay and carries the Bill through to become law, making it a specific criminal offence to manufacture, import, sell or possess a child-like sexual abuse doll. Children gain a protection the law has been missing, and families can trust that the state treats the sexualisation of childhood as the crime it is."
Which sources do you want to include? Please provide the titles plus URLs:,- Child-like Sexual Abuse Dolls (Offences) Bill: https://bills.parliament.uk/bills/4176
What should the image for this campaign look like?,"A single, softly lit child's bedroom with a small toy left on the bed, shot from a low angle so it feels protective rather than sentimental, no faces shown. Overlaid subtly, the silhouette of the Palace of Westminster in the window, suggesting that what happens there decides what protection this room actually has. Muted, serious tones (no bright or cartoonish colours), nothing graphic or explicit, conveying vulnerability and the duty to guard it rather than shock."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - Say No to Labour’s ‘Summer of Sex’: 15,004 new / 68,223 sigs (22.0% acquired) | Demand Sadiq Khan's Resignation: Failing London and Ignoring: 13,810 new / 100,504 sigs (13.7% acquired) | Stop BBC Trans Indoctrination of Children: 5,474 new / 51,027 sigs (10.7% acquired). Topic lifetime: 62 campaigns, 74,761 new members, median acquisition 4.5%. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 218 with us (++/+), 415 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
RF#4/1,What's the gain for freedom and our values if we win?,,"If we win: see 'good outcome' above. Score the value, not the odds.",,,
RF#4/2,What's the cost to freedom and our values if we lose?,,If we lose: see 'bad outcome' above. Usually 0 unless losing accelerates harm.,,,
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
RF#1 NUMERICAL EXPECTATION
Metric,,Expected (Plan),Baseline (evidence),Actual (Evaluate),Delta,Comments
Expected signatures,,,"comparable campaigns: median 25,069 (p25 14,438, p75 33,873, n=36). 26 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 18 on a different basis.)",,,
Expected new members,,,"comparable campaigns: median 1,300 (p25 376, p75 2,147, n=36). 26 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 18 on a different basis.)",,,
Expected EUR raised,,,"Looker (email-campaign attributed): median EUR 1,254 (p25 764, p75 1,540, n=17). 1 sub-3000-signature Looker row(s) excluded as test sends or list segments, not campaigns. 1 campaign(s) started on or after 2026-02-01 excluded: donation attribution is incomplete from that date (EUR 2.29 per 1,000 signatures against 53 before it), so their signatures count but their money cannot. One-time donations only; monthly is a separate column and much smaller.",,,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
TBA,Key parliamentary date,Committee stage
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Top 5 signature sources (% each) and Top 5 new list member sources (% each),
"Paid vs. Organic: spend, signups, cost per paid signup, and most efficient channel",
Best-performing post: link + why it worked + one transferable learning,
Political impact: how social media was used to increase pressure or influence decision-makers?,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"
