Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Tell Parliament: No Baby Should Go Unrecorded (DRAFT),cjoyce@citizengo.net,2026-09-21,Non-Urgent Campaign (by default),EN GB,Draft generated by parl-monitor. Subject: Registration of Stillbirths (England and Wales) Bill,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Describe a good outcome if we do win this campaign:,"If the Government gives this Bill the time and support it needs, Parliament will change the law so that many more babies lost in pregnancy are formally registered as stillborn, giving grieving parents the certificate and recognition they have long been denied, and affirming in law that every lost baby's life and death matter."
Which sources do you want to include? Please provide the titles plus URLs:,- Registration of Stillbirths (England and Wales) Bill: https://bills.parliament.uk/bills/4277
What should the image for this campaign look like?,"A soft, tender image such as a single pair of tiny knitted baby shoes or a small unlit candle resting on a white blanket, lit gently with warm natural light, evoking remembrance and dignity rather than grief or graphic loss. No text overlay beyond a simple line such as ""Every baby deserves to be remembered,"" in quiet, restrained typography that keeps the focus on compassion, not politics."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - No Right-To-Kill: Stop Abortion Decriminalisation: 2,633 new / 36,274 sigs (7.3% acquired) | Stop Sex Selective Abortion and Abortion Up to Birth in Scot: 907 new / 24,382 sigs (3.7% acquired) | CSW69 - Stop the UN’s Plan to Force Abortion Worldwide!: 830 new / 32,214 sigs (2.6% acquired). Topic lifetime: 44 campaigns, 8,591 new members. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 93 with us (++/+), 505 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
RF#4/1,What's the gain for freedom and our values if we win?,,"If we win: see 'good outcome' above. Score the value, not the odds.",,,
RF#4/2,What's the cost to freedom and our values if we lose?,,If we lose: see 'bad outcome' above. Usually 0 unless losing accelerates harm.,,,
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
RF#1 NUMERICAL EXPECTATION
Metric,,Expected (Plan),Baseline (evidence),Actual (Evaluate),Delta,Comments
Expected signatures,,,"comparable campaigns: median 19,136 (p25 6,745, p75 24,382, n=14). 30 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 7 on a different basis.)",,,
Expected new members,,,"comparable campaigns: median 601 (p25 129, p75 826, n=14). 30 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 7 on a different basis.)",,,
Expected EUR raised,,,"Looker (email-campaign attributed): median EUR 1,931 (p25 836, p75 2,064, n=7). One-time donations only; monthly is a separate column and much smaller.",,,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
TBA,Key parliamentary date,1st reading
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Top 5 signature sources (% each) and Top 5 new list member sources (% each),
"Paid vs. Organic: spend, signups, cost per paid signup, and most efficient channel",
Best-performing post: link + why it worked + one transferable learning,
Political impact: how social media was used to increase pressure or influence decision-makers?,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"
