Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Tell the Health Minister: Sex Is Not a Feeling (DRAFT),cjoyce@citizengo.net,2026-09-21,Non-Urgent Campaign (by default),EN GB,"Draft generated by parl-monitor. Subject: PQ HL3338 (Lords): Gender Dysphoria: Health Services, answered 2026-09-17",
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
Why is it urgent that we take action now?,"There is no fixed deadline attached to this particular question, but that is precisely the danger. Written answers like HL3338 are quietly logged, filed, and treated as settled position, without ever facing the scrutiny a debate or vote would bring.

Once evasive or vague answers on gender dysphoria services go unchallenged, they become the default framework NHS trusts point to when writing their own local policies. What starts as an unclear parliamentary answer becomes, within months, the justification for ward level decisions that women and clinicians then have to live with.

Ministers have made repeated public commitments, including through Cass Review follow up and Equality Act guidance, to ensure gender dysphoria care is safe and evidence based, and that single sex provision in the NHS is protected. HL3338 is a test of whether that commitment survives contact with a straightforward written question.

If supporters stay silent now, the Minister and the department will take that silence as consent, another question answered, another chance to avoid a firm position quietly closed off."
Describe a bad outcome if we do not win this campaign:,"If the Minister for Health continues to give vague or evasive answers on gender dysphoria services, NHS trusts will keep drifting toward policies that treat biological sex as optional, leaving women exposed on wards, clinicians unprotected when they speak plainly, and children in gender distress funnelled through pathways shaped more by ideology than by rigorous care."
Describe a good outcome if we do win this campaign:,"The Minister for Health issues a clear, public commitment that NHS gender dysphoria services will be built on biological sex, that single sex wards and spaces will be protected in practice as well as on paper, and that clinicians who uphold this standard will be backed, not disciplined."
Which sources do you want to include? Please provide the titles plus URLs:,"- PQ HL3338 (Lords): Gender Dysphoria: Health Services, answered 2026-09-17: https://questions-statements.parliament.uk/written-questions/detail/2026-09-09/HL3338"
What should the image for this campaign look like?,"A quiet, dignified image of an NHS hospital corridor or ward door marked ""Women Only"", perhaps with a nurse's silhouette pausing before it, conveying steadiness and duty rather than conflict. Muted NHS blue tones, no aggressive symbolism, evoking the ordinary safety patients expect but cannot currently be sure of."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - Stand with Darlington nurses for safe spaces for women: 9,658 new / 80,068 sigs (12.1% acquired) | Justice for Jennifer: Nurse disciplined and could lose job f: 7,159 new / 77,608 sigs (9.2% acquired) | Stop NHS Gender Clinics and Puberty Blocker Trials on Childr: 5,807 new / 77,876 sigs (7.5% acquired). Topic lifetime: 66 campaigns, 45,857 new members, median acquisition 2.1%. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,"5CA Commons: 140 with us (++/+), 422 against (-/--).",,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
RF#4/1,What's the gain for freedom and our values if we win?,,"If we win: see 'good outcome' above. Score the value, not the odds.",,,
RF#4/2,What's the cost to freedom and our values if we lose?,,If we lose: see 'bad outcome' above. Usually 0 unless losing accelerates harm.,,,
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
RF#1 NUMERICAL EXPECTATION
Metric,,Expected (Plan),Baseline (evidence),Actual (Evaluate),Delta,Comments
Expected signatures,,,"comparable campaigns: median 21,686 (p25 12,365, p75 35,584, n=34). 32 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 20 on a different basis.)",,,
Expected new members,,,"comparable campaigns: median 655 (p25 44, p75 1,310, n=34). 32 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 20 on a different basis.)",,,
Expected EUR raised,,,"Looker (email-campaign attributed): median EUR 580 (p25 278, p75 1,427, n=17). 1 sub-3000-signature Looker row(s) excluded as test sends or list segments, not campaigns. 3 campaign(s) started on or after 2026-02-01 excluded: donation attribution is incomplete from that date (EUR 2.29 per 1,000 signatures against 53 before it), so their signatures count but their money cannot. One-time donations only; monthly is a separate column and much smaller.",,,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Top 5 signature sources (% each) and Top 5 new list member sources (% each),
"Paid vs. Organic: spend, signups, cost per paid signup, and most efficient channel",
Best-performing post: link + why it worked + one transferable learning,
Political impact: how social media was used to increase pressure or influence decision-makers?,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"
